station_key,comid,lat,lon,source,snapped_at
NRS23_AL_10021,18631884,32.96830438,-87.94559412,nldi_snap,2026-08-24T02:01:14Z
NRS23_AL_10024,19618842,34.93129842,-86.44139259,nldi_snap,2026-08-24T02:01:15Z
NRS23_AL_10025,18632568,32.61964006,-87.96200479,nldi_snap,2026-08-24T02:01:15Z
NRS23_AL_10031,2310443,31.2248612,-85.09653735,nldi_snap,2026-08-24T02:01:15Z
NRS23_AL_10032,21655342,33.48752292,-86.69602939,nldi_snap,2026-08-24T02:01:15Z
NRS23_AL_10034,22038583,32.97288937,-85.7690844,nldi_snap,2026-08-24T02:01:15Z
NRS23_AL_10035,2187281,31.43992664,-85.54580174,nldi_snap,2026-08-24T02:01:15Z
NRS23_AL_10042,18228233,33.31468152,-87.44274098,nldi_snap,2026-08-24T02:01:15Z
NRS23_AL_10051,3435520,32.39174337,-85.15833973,nldi_snap,2026-08-24T02:01:16Z
NRS23_AL_10067,3436768,32.18313043,-85.17125759,nldi_snap,2026-08-24T02:01:16Z
NRS23_AL_10072,18520009,31.0471304,-87.8829617,nldi_snap,2026-08-24T02:01:16Z
NRS23_AL_10078,3436638,32.198921,-85.14875631,nldi_snap,2026-08-24T02:01:16Z
NRS23_AL_10086,18524051,30.73918146,-88.14364478,nldi_snap,2026-08-24T02:01:22Z
NRS23_AL_10091,21459184,31.91107227,-87.51765775,nldi_snap,2026-08-24T02:01:22Z
NRS23_AL_10092,22202117,33.54370776,-85.99237681,nldi_snap,2026-08-24T02:01:22Z
NRS23_AL_10097,2400125,31.69447539,-86.54859697,nldi_snap,2026-08-24T02:01:22Z
NRS23_AL_10099,18548052,31.81801146,-88.20500858,nldi_snap,2026-08-24T02:01:22Z
NRS23_AL_10101,2306773,31.55695585,-85.05084402,nldi_snap,2026-08-24T02:01:22Z
NRS23_AL_10108,22273474,33.2069658,-86.46192253,nldi_snap,2026-08-24T02:01:22Z
NRS23_AL_10109,19623678,34.77956129,-87.68445016,nldi_snap,2026-08-24T02:01:23Z
NRS23_AL_10112,15823713,34.12287742,-85.75091183,nldi_snap,2026-08-24T02:01:23Z
NRS23_AL_10114,18229259,33.49762549,-87.20727446,nldi_snap,2026-08-24T02:01:23Z
NRS23_AL_10117,3434372,32.29783513,-84.93307004,nldi_snap,2026-08-24T02:01:23Z
NRS23_AL_10118,21661806,32.97267764,-87.14092902,nldi_snap,2026-08-24T02:01:23Z
NRS23_AL_10119,21662432,32.35095924,-87.12520403,nldi_snap,2026-08-24T02:01:23Z
NRS23_AL_10120,22273398,33.28318859,-86.43238496,nldi_snap,2026-08-24T02:01:23Z
NRS23_AL_10123,18522485,30.76748302,-87.9255343,nldi_snap,2026-08-24T02:01:24Z
NRS23_AL_10125,19569086,34.31420653,-87.83934854,nldi_snap,2026-08-24T02:01:24Z
NRS23_AL_10127,18548414,31.92555874,-88.08366434,nldi_snap,2026-08-24T02:01:24Z
NRS23_AL_10135,21688846,32.37060727,-87.05078996,nldi_snap,2026-08-24T02:01:24Z
NRS23_AL_10136,22206243,33.43103411,-86.35315897,nldi_snap,2026-08-24T02:01:24Z
NRS23_AL_10140,2210454,31.51119036,-85.86722716,nldi_snap,2026-08-24T02:01:24Z
NRS23_AL_HP001,18578829,34.2856,-87.3991,nldi_snap,2026-08-24T02:01:24Z
NRS23_AL_HP002,22201183,33.87273,-85.58125,nldi_snap,2026-08-24T02:01:24Z
NRS23_AR_10015,6044918,34.92864078,-94.37232199,nldi_snap,2026-08-24T02:01:25Z
NRS23_AR_10018,22846369,34.83086229,-92.61898948,nldi_snap,2026-08-24T02:01:25Z
NRS23_AR_10026,7771571,35.3449765,-93.76700472,nldi_snap,2026-08-24T02:01:25Z
NRS23_AR_10027,11799773,35.52963648,-91.33966132,nldi_snap,2026-08-24T02:01:25Z
NRS23_AR_10028,3750028,33.81527031,-94.17210675,nldi_snap,2026-08-24T02:01:25Z
NRS23_AR_10029,18059622,33.0024305,-91.17098291,nldi_snap,2026-08-24T02:01:25Z
NRS23_AR_10030,398070,36.15388145,-94.36639657,nldi_snap,2026-08-24T02:01:25Z
NRS23_AR_10031,11808920,36.10216576,-91.59303941,nldi_snap,2026-08-24T02:01:26Z
NRS23_AR_10032,15234428,34.60066976,-93.72333053,nldi_snap,2026-08-24T02:01:26Z
NRS23_AR_10033,18055958,33.59245303,-91.13636583,nldi_snap,2026-08-24T02:01:26Z
NRS23_AR_10035,22859759,35.49218734,-90.79491532,nldi_snap,2026-08-24T02:01:26Z
NRS23_AR_10036,22701084,33.80382013,-92.93921324,nldi_snap,2026-08-24T02:01:26Z
NRS23_AR_10056,19473731,33.00869492,-91.8354329,nldi_snap,2026-08-24T02:01:26Z
