metric_key,units,cycles_with_values,pooled_cycles,origin,sources,epa_flag,definition_1314,definition_1819,definition_2324,median_ratio,units_check
bent_EPT_NTAX,,"1314,1819,2324","1314,1819,2324",1314:epa_published; 1819:legacy_r_app; 2324:epa_published,1314:BENTHIC_METRICS.EPT_NTAX; 2324:BENTHIC_METRICS.EPT_NTAX,Same/equivalent EPA label across available cycles,No. of EPT taxa,,No. of EPT taxa,1.143,ok
bent_HPRIME,,"1314,1819,2324","1314,1819,2324",1314:epa_published; 1819:legacy_r_app; 2324:epa_published,1314:BENTHIC_METRICS.HPRIME; 2324:BENTHIC_METRICS.HPRIME,Same/equivalent EPA label across available cycles,"Shannon diversity- sum of prop_i*ln(prop_i) based only on distinct taxa, where prop_i=proportion of species i in sample",,"Shannon diversity- sum of prop_i*ln(prop_i) based only on distinct taxa, where prop_i=proportion of species i in sample",1.024,ok
bent_TOLRPIND,,"1314,1819,2324","1314,1819,2324",1314:epa_published; 1819:legacy_r_app; 2324:epa_published,1314:BENTHIC_METRICS.TOLRPIND; 2324:BENTHIC_METRICS.TOLRPIND,Same/equivalent EPA label across available cycles,% Tolerant (PTV>=7) individuals,,% Tolerant (PTV>=7) individuals,1.063,ok
bent_TOTLNTAX,,"1314,1819,2324","1314,1819,2324",1314:epa_published; 1819:legacy_r_app; 2324:epa_published,1314:BENTHIC_METRICS.TOTLNTAX; 2324:BENTHIC_METRICS.TOTLNTAX,Same/equivalent EPA label across available cycles,Number of distinct taxa in sample,,Number of distinct taxa in sample,1.067,ok
chem_CHLA,ug/L,"1314,1819,2324","1314,1819,2324",1314:epa_published; 1819:epa_published; 2324:epa_published,1314:WATER_COLUMN_CHLA.CHLA_RESULT; 1819:WATER_CHEMISTRY.CHLA_RESULT; 2324:WATER_CHEMISTRY.CHLA_RESULT,Not comparable across cycles; Same/equivalent EPA label across available cycles,Chlorophyll a for NA,Analyte value: chlorophyll-a,Analyte value: chlorophyll-a,1.116,ok
chem_COND,uS/cm,"1314,1819,2324","1314,1819,2324",1314:epa_published; 1819:epa_published; 2324:epa_published,1314:WATER_CHEMISTRY.COND_RESULT; 1819:WATER_CHEMISTRY.COND_RESULT; 2324:WATER_CHEMISTRY.COND_RESULT,EPA label differs and/or is blank across cycles; Not comparable across cycles,Conductivity for NA,Analyte value: conductivity,Analyte value: conductivity,1.15,ok
chem_DOC,mg/L,"1314,1819,2324","1314,1819,2324",1314:epa_published; 1819:epa_published; 2324:epa_published,1314:WATER_CHEMISTRY.DOC_RESULT; 1819:WATER_CHEMISTRY.DOC_RESULT; 2324:WATER_CHEMISTRY.DOC_RESULT,EPA label differs and/or is blank across cycles; Not comparable across cycles,Dissolved Organic Carbon - MG/L,Analyte value: dissolved organic carbon,Analyte value: dissolved organic carbon,1.03,ok
chem_NTL,mg N/L,"1314,1819,2324","1314,1819,2324",1314:epa_published; 1819:epa_published; 2324:epa_published,1314:WATER_CHEMISTRY.NTL_RESULT; 1819:WATER_CHEMISTRY.NTL_RESULT; 2324:WATER_CHEMISTRY.NTL_RESULT,EPA label differs and/or is blank across cycles,Total Nitrogen for NA,Total Nitrogen,Total Nitrogen,1.127,ok
chem_PH,Std. Units,"1314,1819,2324","1314,1819,2324",1314:epa_published; 1819:epa_published; 2324:epa_published,1314:WATER_CHEMISTRY.PH_RESULT; 1819:WATER_CHEMISTRY.PH_RESULT; 2324:WATER_CHEMISTRY.PH_RESULT,EPA label differs and/or is blank across cycles; Not comparable across cycles,pH - STD. UNITS,Analyte value: pH,Analyte value: pH,1.015,ok
chem_PTL,ug/L,"1314,1819,2324","1314,1819,2324",1314:epa_published; 1819:epa_published; 2324:epa_published,1314:WATER_CHEMISTRY.PTL_RESULT; 1819:WATER_CHEMISTRY.PTL_RESULT; 2324:WATER_CHEMISTRY.PTL_RESULT,EPA label differs and/or is blank across cycles; Not comparable across cycles,Total Phosphorus - UG/L,Total Phosphorus,Total Phosphorus,1.284,ok
