metric_key,display_name,short_name,description,units,category,epa_short_name,source_cycle,name_origin
bent_AMPHNTAX,No. of Amphipoda taxa,No. of Amphipoda taxa,No. of Amphipoda taxa,,Benthic macroinvertebrates,AMPHNTAX,2324,epa_metadata
bent_AMPHPIND,% Amphipoda individuals,% Amphipoda individuals,% Amphipoda individuals,,Benthic macroinvertebrates,AMPHPIND,2324,epa_metadata
bent_AMPHPTAX,% Amphipoda taxa,% Amphipoda taxa,% Amphipoda taxa,,Benthic macroinvertebrates,AMPHPTAX,2324,epa_metadata
bent_BURRNTAX,No. of Burrowers taxa,No. of Burrowers taxa,No. of Burrowers taxa,,Benthic macroinvertebrates,BURRNTAX,2324,epa_metadata
bent_BURRPIND,% Burrowers individuals,% Burrowers individuals,% Burrowers individuals,,Benthic macroinvertebrates,BURRPIND,2324,epa_metadata
bent_BURRPTAX,% Burrowers taxa,% Burrowers taxa,% Burrowers taxa,,Benthic macroinvertebrates,BURRPTAX,2324,epa_metadata
bent_CHIRDOM1PIND,% individuals in most abundant distinct Chironomidae taxon,% individuals in most abundant...,% individuals in most abundant distinct Chironomidae taxon,,Benthic macroinvertebrates,CHIRDOM1PIND,2324,epa_metadata
bent_CHIRDOM3PIND,% individuals in most abundant 3 distinct Chironomidae taxa,% individuals in most abundant 3...,% individuals in most abundant 3 distinct Chironomidae taxa,,Benthic macroinvertebrates,CHIRDOM3PIND,2324,epa_metadata
bent_CHIRDOM5PIND,% individuals in most abundant 5 distinct Chironomidae taxa,% individuals in most abundant 5...,% individuals in most abundant 5 distinct Chironomidae taxa,,Benthic macroinvertebrates,CHIRDOM5PIND,2324,epa_metadata
bent_CHIRNTAX,No. of Chironomidae taxa,No. of Chironomidae taxa,No. of Chironomidae taxa,,Benthic macroinvertebrates,CHIRNTAX,2324,epa_metadata
bent_CHIRPIND,% Chironomidae individuals,% Chironomidae individuals,% Chironomidae individuals,,Benthic macroinvertebrates,CHIRPIND,2324,epa_metadata
bent_CHIRPTAX,% Chironomidae taxa,% Chironomidae taxa,% Chironomidae taxa,,Benthic macroinvertebrates,CHIRPTAX,2324,epa_metadata
bent_CLMBNTAX,No. of Climbers taxa,No. of Climbers taxa,No. of Climbers taxa,,Benthic macroinvertebrates,CLMBNTAX,2324,epa_metadata
bent_CLMBPIND,% Climbers individuals,% Climbers individuals,% Climbers individuals,,Benthic macroinvertebrates,CLMBPIND,2324,epa_metadata
bent_CLMBPTAX,% Climbers taxa,% Climbers taxa,% Climbers taxa,,Benthic macroinvertebrates,CLMBPTAX,2324,epa_metadata
bent_CLNGNTAX,No. of Clingers taxa,No. of Clingers taxa,No. of Clingers taxa,,Benthic macroinvertebrates,CLNGNTAX,2324,epa_metadata
bent_CLNGPIND,% Clingers individuals,% Clingers individuals,% Clingers individuals,,Benthic macroinvertebrates,CLNGPIND,2324,epa_metadata
bent_CLNGPTAX,% Clingers taxa,% Clingers taxa,% Clingers taxa,,Benthic macroinvertebrates,CLNGPTAX,2324,epa_metadata
bent_COFINTAX,No. of Collecter-filterer taxa,No. of Collecter-filterer taxa,No. of Collecter-filterer taxa,,Benthic macroinvertebrates,COFINTAX,2324,epa_metadata
bent_COFIPIND,% Collecter-filterer individuals,% Collecter-filterer individuals,% Collecter-filterer individuals,,Benthic macroinvertebrates,COFIPIND,2324,epa_metadata
bent_COFIPTAX,% Collecter-filterer taxa,% Collecter-filterer taxa,% Collecter-filterer taxa,,Benthic macroinvertebrates,COFIPTAX,2324,epa_metadata
bent_COFITRICNTAX,No. of Collector-filterer Trichoptera taxa,No. of Collector-filterer...,No. of Collector-filterer Trichoptera taxa,,Benthic macroinvertebrates,COFITRICNTAX,2324,epa_metadata
bent_COFITRICPIND,% Collector-filterer Trichoptera individuals,% Collector-filterer Trichoptera...,% Collector-filterer Trichoptera individuals,,Benthic macroinvertebrates,COFITRICPIND,2324,epa_metadata
bent_COFITRICPTAX,% Collector-filterer Trichoptera taxa,% Collector-filterer Trichoptera...,% Collector-filterer Trichoptera taxa,,Benthic macroinvertebrates,COFITRICPTAX,2324,epa_metadata
bent_COGANTAX,No. of Collecter-gatherer taxa,No. of Collecter-gatherer taxa,No. of Collecter-gatherer taxa,,Benthic macroinvertebrates,COGANTAX,2324,epa_metadata
bent_COGAPIND,% Collecter-gatherer individuals,% Collecter-gatherer individuals,% Collecter-gatherer individuals,,Benthic macroinvertebrates,COGAPIND,2324,epa_metadata
bent_COGAPTAX,% Collecter-gatherer taxa,% Collecter-gatherer taxa,% Collecter-gatherer taxa,,Benthic macroinvertebrates,COGAPTAX,2324,epa_metadata
bent_CRUSNTAX,No. of Crustaceans taxa,No. of Crustaceans taxa,No. of Crustaceans taxa,,Benthic macroinvertebrates,CRUSNTAX,2324,epa_metadata
bent_CRUSPIND,% Crustaceans individuals,% Crustaceans individuals,% Crustaceans individuals,,Benthic macroinvertebrates,CRUSPIND,2324,epa_metadata
bent_CRUSPTAX,% Crustaceans taxa,% Crustaceans taxa,% Crustaceans taxa,,Benthic macroinvertebrates,CRUSPTAX,2324,epa_metadata
bent_DIPTNTAX,No. of Diptera taxa,No. of Diptera taxa,No. of Diptera taxa,,Benthic macroinvertebrates,DIPTNTAX,2324,epa_metadata
bent_DIPTPIND,% Diptera individuals,% Diptera individuals,% Diptera individuals,,Benthic macroinvertebrates,DIPTPIND,2324,epa_metadata
bent_DIPTPTAX,% Diptera taxa,% Diptera taxa,% Diptera taxa,,Benthic macroinvertebrates,DIPTPTAX,2324,epa_metadata
bent_DOM1PIND,% individuals in dominant distinct taxon,% individuals in dominant distinct...,% individuals in dominant distinct taxon,,Benthic macroinvertebrates,DOM1PIND,2324,epa_metadata
bent_DOM3PIND,% individuals in dominant 3 distinct taxa,% individuals in dominant 3...,% individuals in dominant 3 distinct taxa,,Benthic macroinvertebrates,DOM3PIND,2324,epa_metadata
bent_DOM5PIND,% individuals in dominant 5 distinct taxa,% individuals in dominant 5...,% individuals in dominant 5 distinct taxa,,Benthic macroinvertebrates,DOM5PIND,2324,epa_metadata
bent_EPHENTAX,No. of Ephemeroptera taxa,No. of Ephemeroptera taxa,No. of Ephemeroptera taxa,,Benthic macroinvertebrates,EPHENTAX,2324,epa_metadata
bent_EPHEPIND,% Ephemeroptera individuals,% Ephemeroptera individuals,% Ephemeroptera individuals,,Benthic macroinvertebrates,EPHEPIND,2324,epa_metadata
bent_EPHEPTAX,% Ephemeroptera taxa,% Ephemeroptera taxa,% Ephemeroptera taxa,,Benthic macroinvertebrates,EPHEPTAX,2324,epa_metadata
bent_EPOTNTAX,"No. of Ephemeroptera, Plecoptera, Odonata, & Trichoptera taxa","No. of Ephemeroptera, Plecoptera...","No. of Ephemeroptera, Plecoptera, Odonata, & Trichoptera taxa",,Benthic macroinvertebrates,EPOTNTAX,2324,epa_metadata
bent_EPOTPIND,"% Ephemeroptera, Plecoptera, Odonata, & Trichoptera individuals","% Ephemeroptera, Plecoptera...","% Ephemeroptera, Plecoptera, Odonata, & Trichoptera individuals",,Benthic macroinvertebrates,EPOTPIND,2324,epa_metadata
bent_EPOTPTAX,"% Ephemeroptera, Plecoptera, Odonata, & Trichoptera taxa","% Ephemeroptera, Plecoptera...","% Ephemeroptera, Plecoptera, Odonata, & Trichoptera taxa",,Benthic macroinvertebrates,EPOTPTAX,2324,epa_metadata
bent_EPT_NTAX,EPT taxa richness,EPT taxa richness,EPT (mayfly/stonefly/caddisfly) taxa richness; more sensitive taxa indicate better condition.,,Benthic macroinvertebrates,EPT_NTAX,2324,metric_map
bent_EPT_PIND,% EPT individuals,% EPT individuals,% EPT individuals,,Benthic macroinvertebrates,EPT_PIND,2324,epa_metadata
bent_EPT_PTAX,% EPT taxa,% EPT taxa,% EPT taxa,,Benthic macroinvertebrates,EPT_PTAX,2324,epa_metadata
bent_FACLNTAX,No. of Facultative (3< PTV <7) taxa,No. of Facultative (3< PTV <7)...,No. of Facultative (3< PTV <7) taxa,,Benthic macroinvertebrates,FACLNTAX,2324,epa_metadata
bent_FACLPIND,% Facultative (3< PTV <7) individuals,% Facultative (3< PTV <7)...,% Facultative (3< PTV <7) individuals,,Benthic macroinvertebrates,FACLPIND,2324,epa_metadata
bent_FACLPTAX,% Facultative (3< PTV <7) taxa,% Facultative (3< PTV <7) taxa,% Facultative (3< PTV <7) taxa,,Benthic macroinvertebrates,FACLPTAX,2324,epa_metadata
bent_HEMINTAX,No. of Hemiptera taxa,No. of Hemiptera taxa,No. of Hemiptera taxa,,Benthic macroinvertebrates,HEMINTAX,2324,epa_metadata
bent_HEMIPIND,% Hemiptera individuals,% Hemiptera individuals,% Hemiptera individuals,,Benthic macroinvertebrates,HEMIPIND,2324,epa_metadata
bent_HEMIPTAX,% Hemiptera taxa,% Hemiptera taxa,% Hemiptera taxa,,Benthic macroinvertebrates,HEMIPTAX,2324,epa_metadata
bent_HPRIME,Shannon diversity (H'),Shannon diversity (H'),Benthic Shannon diversity; higher diversity indicates better condition.,,Benthic macroinvertebrates,HPRIME,2324,metric_map
bent_INTLNTAX,No. of Intolerant (PTV<=3) taxa,No. of Intolerant (PTV<=3) taxa,No. of Intolerant (PTV<=3) taxa,,Benthic macroinvertebrates,INTLNTAX,2324,epa_metadata
bent_INTLPIND,% Intolerant (PTV<=3) individuals,% Intolerant (PTV<=3) individuals,% Intolerant (PTV<=3) individuals,,Benthic macroinvertebrates,INTLPIND,2324,epa_metadata
bent_INTLPTAX,% Intolerant (PTV<=3) taxa,% Intolerant (PTV<=3) taxa,% Intolerant (PTV<=3) taxa,,Benthic macroinvertebrates,INTLPTAX,2324,epa_metadata
bent_MITENTAX,No. of Mite taxa,No. of Mite taxa,No. of Mite taxa,,Benthic macroinvertebrates,MITENTAX,2324,epa_metadata
bent_MITEPIND,% Mite individuals,% Mite individuals,% Mite individuals,,Benthic macroinvertebrates,MITEPIND,2324,epa_metadata
bent_MITEPTAX,% Mite taxa,% Mite taxa,% Mite taxa,,Benthic macroinvertebrates,MITEPTAX,2324,epa_metadata
bent_MOLLNTAX,No. of Mollusca taxa,No. of Mollusca taxa,No. of Mollusca taxa,,Benthic macroinvertebrates,MOLLNTAX,2324,epa_metadata
bent_MOLLPIND,% Mollusca individuals,% Mollusca individuals,% Mollusca individuals,,Benthic macroinvertebrates,MOLLPIND,2324,epa_metadata
bent_MOLLPTAX,% Mollusca taxa,% Mollusca taxa,% Mollusca taxa,,Benthic macroinvertebrates,MOLLPTAX,2324,epa_metadata
bent_NOINNTAX,No. of Non-insects taxa,No. of Non-insects taxa,No. of Non-insects taxa,,Benthic macroinvertebrates,NOINNTAX,2324,epa_metadata
bent_NOINPIND,% Non-insects individuals,% Non-insects individuals,% Non-insects individuals,,Benthic macroinvertebrates,NOINPIND,2324,epa_metadata
bent_NOINPTAX,% Non-insects taxa,% Non-insects taxa,% Non-insects taxa,,Benthic macroinvertebrates,NOINPTAX,2324,epa_metadata
