indicator_group,epa_short_name,in_2013_2014,2013_2014_dataset_s,2013_2014_epa_definition_s,in_2018_2019,2018_2019_dataset_s,2018_2019_epa_definition_s,in_2023_2024,2023_2024_dataset_s,2023_2024_epa_definition_s,cycle_presence,definition_comparison
Algal Toxin,ABSORBANCE,No,,,Yes,NRSA 1819 Algal Toxin,Absorbance value,Yes,NRSA 2324 Algal Toxin,Absorbance,2018–2019 + 2023–2024,EPA label differs and/or is blank across cycles
Algal Toxin,ABSORBANCE_UNITS,No,,,Yes,NRSA 1819 Algal Toxin,Units for parameter ABSORBANCE,Yes,NRSA 2324 Algal Toxin,Units for parameter ABSORBANCE,2018–2019 + 2023–2024,Same/equivalent EPA label across available cycles
Algal Toxin,AG_ECO9,No,,,Yes,NRSA 1819 Algal Toxin,"NARS 9-level reporting region (2015), based on aggregated Omernik Level III ecoregions",No,,,2018–2019 only,Not comparable across cycles
Algal Toxin,ANALYST,No,,,Yes,NRSA 1819 Algal Toxin,Laboratory analyst,Yes,NRSA 2324 Algal Toxin,Laboratory analyst,2018–2019 + 2023–2024,Same/equivalent EPA label across available cycles
Algal Toxin,ANALYTE,No,,,Yes,NRSA 1819 Algal Toxin,Analyte,Yes,NRSA 2324 Algal Toxin,Analyte,2018–2019 + 2023–2024,Same/equivalent EPA label across available cycles
Algal Toxin,BATCH_ID,No,,,Yes,NRSA 1819 Algal Toxin,Laboratory batch number | Laboratory Batch ID,Yes,NRSA 2324 Algal Toxin,Laboratory Batch ID,2018–2019 + 2023–2024,Same/equivalent EPA label across available cycles
Algal Toxin,COND_COMMENT,No,,,No,,,Yes,NRSA 2324 Algal Toxin,Condition of sample on arrival at laboratory,2023–2024 only,Not comparable across cycles
Algal Toxin,CONDITION_CODE,No,,,Yes,NRSA 1819 Algal Toxin,Condition of sample code,Yes,NRSA 2324 Algal Toxin,Condition of sample code,2018–2019 + 2023–2024,Same/equivalent EPA label across available cycles
Algal Toxin,DATE_ANALYZED,No,,,Yes,NRSA 1819 Algal Toxin,Date sample analyzed,Yes,NRSA 2324 Algal Toxin,Date sample analyzed,2018–2019 + 2023–2024,Same/equivalent EPA label across available cycles
Algal Toxin,DATE_COL,Yes,NRSA 1314 Microcystin,Date of data collection in field,Yes,NRSA 1819 Algal Toxin,Date collected,Yes,NRSA 2324 Algal Toxin,Date of data collection in field,All three cycles,EPA label differs and/or is blank across cycles
Algal Toxin,DATE_RECEIVED,No,,,Yes,NRSA 1819 Algal Toxin,Date sample received by lab,Yes,NRSA 2324 Algal Toxin,Date sample received,2018–2019 + 2023–2024,EPA label differs and/or is blank across cycles
Algal Toxin,DILUTION_FACTOR,No,,,Yes,NRSA 1819 Algal Toxin,Dilution factor,Yes,NRSA 2324 Algal Toxin,Dilution factor,2018–2019 + 2023–2024,Same/equivalent EPA label across available cycles
Algal Toxin,EPA_REG,No,,,Yes,NRSA 1819 Algal Toxin,EPA Region,No,,,2018–2019 only,Not comparable across cycles
Algal Toxin,INDEX_VISIT,Yes,NRSA 1314 Microcystin,Index visit Y/blank,No,,,No,,,2013–2014 only,Not comparable across cycles
Algal Toxin,KIT_ID,No,,,Yes,NRSA 1819 Algal Toxin,"Kit identification code. If one does not exist, assign a unique code to each kit.",Yes,NRSA 2324 Algal Toxin,"Kit identification code. If one does not exist, assign a unique code to each kit.",2018–2019 + 2023–2024,Same/equivalent EPA label across available cycles
Algal Toxin,LAB,No,,,Yes,NRSA 1819 Algal Toxin,Laboratory processing sample,Yes,NRSA 2324 Algal Toxin,Laboratory processing sample,2018–2019 + 2023–2024,Same/equivalent EPA label across available cycles
Algal Toxin,LAB_COMMENT,No,,,No,,,Yes,NRSA 2324 Algal Toxin,Laboratory comment,2023–2024 only,Not comparable across cycles
Algal Toxin,MATRIX,No,,,Yes,NRSA 1819 Algal Toxin,"Material used for analysis | Type of sample (e.g., water, sediment, tissue)",Yes,NRSA 2324 Algal Toxin,"Type of sample (e.g., water, sediment, tissue)",2018–2019 + 2023–2024,Same/equivalent EPA label across available cycles
