cycle,dataset_id,indicator,official_epa_dataset,convenience_prefix,data_file,metadata_file,unique_fields,metadata_records,epa_data_url,epa_metadata_url
2324,ALGAL_TOXIN,Algal Toxin,NRSA 2324 Algal Toxin,algaltox,nrsa2324_algaltoxin.csv,nrsa2324_algaltoxin_metadata.csv,31,31,https://www.epa.gov/system/files/other-files/2026-06/nrsa2324_algaltoxin.csv,https://www.epa.gov/system/files/other-files/2026-06/nrsa2324_algaltoxin_metadata.csv
2324,BENTHIC_COUNT,Benthic Macroinvertebrates,NRSA 2324 Benthic Count,benthic_count,nrsa2324_benthiccount.csv,nrsa2324_benthiccount_metadata_0.csv,22,24,https://www.epa.gov/system/files/other-files/2026-06/nrsa2324_benthiccount.csv,https://www.epa.gov/system/files/other-files/2026-06/nrsa2324_benthiccount_metadata_0.csv
2324,BENTHIC_METRICS,Benthic Macroinvertebrates,NRSA 2324 Benthic Metrics,benthic_metrics,nrsa2324_benthicmetrics.csv,nrsa2324_benthicmetrics_metadata.csv,133,258,https://www.epa.gov/system/files/other-files/2026-06/nrsa2324_benthicmetrics.csv,https://www.epa.gov/system/files/other-files/2026-06/nrsa2324_benthicmetrics_metadata.csv
2324,BENTHIC_MMI,Benthic Macroinvertebrates,NRSA 2324 Benthic MMI,benthic_mmi,nrsa2324_benthicmmi.csv,nrsa2324_benthicmmi_metadata.csv,16,24,https://www.epa.gov/system/files/other-files/2026-06/nrsa2324_benthicmmi.csv,https://www.epa.gov/system/files/other-files/2026-06/nrsa2324_benthicmmi_metadata.csv
2324,BENTHIC_TAXA,Benthic Macroinvertebrates,NRSA 2324 Benthic Taxa List,benthic_taxa,nrsa2324_benthictaxa.csv,nrsa2324_benthictaxa_metadata.csv,14,21,https://www.epa.gov/system/files/other-files/2026-06/nrsa2324_benthictaxa.csv,https://www.epa.gov/system/files/other-files/2026-06/nrsa2324_benthictaxa_metadata.csv
2324,ENTEROCOCCI,Enterococci,NRSA 2324 Enterococci,enterococci,nrsa2324_enterococci.csv,nrsa2324_enterococci_metadata.csv,17,17,https://www.epa.gov/system/files/other-files/2026-06/nrsa2324_enterococci.csv,https://www.epa.gov/system/files/other-files/2026-06/nrsa2324_enterococci_metadata.csv
2324,FISH_COUNT,Fish,NRSA 2324 Fish Count,fish_count,nrsa2324_fishcount.csv,nrsa2324_fishcount_metadata.csv,19,19,https://www.epa.gov/system/files/other-files/2026-06/nrsa2324_fishcount.csv,https://www.epa.gov/system/files/other-files/2026-06/nrsa2324_fishcount_metadata.csv
2324,FISH_METRICS,Fish,NRSA 2324 Fish Metrics,fish_metrics,nrsa2324_fishmetrics.csv,nrsa2324_fishmetrics_metadata.csv,187,187,https://www.epa.gov/system/files/other-files/2026-06/nrsa2324_fishmetrics.csv,https://www.epa.gov/system/files/other-files/2026-06/nrsa2324_fishmetrics_metadata.csv
2324,FISH_MMI,Fish,NRSA 2324 Fish MMI,fish_mmi,nrsa2324_fishmmi.csv,nrsa2324_fishmmi_metadata.csv,91,91,https://www.epa.gov/system/files/other-files/2026-06/nrsa2324_fishmmi.csv,https://www.epa.gov/system/files/other-files/2026-06/nrsa2324_fishmmi_metadata.csv
2324,FISH_MERCURY,Fish,NRSA 2324 Mercury in Fish Tissue Plugs,fish_hg,nrsa2324_hg_fishplug.csv,nrsa2324_hg_fishplug_metadata.csv,30,30,https://www.epa.gov/system/files/other-files/2026-06/nrsa2324_hg_fishplug.csv,https://www.epa.gov/system/files/other-files/2026-06/nrsa2324_hg_fishplug_metadata.csv
2324,FISH_TAXA,Fish,NRSA 2324 Fish Taxa List,fish_taxa,nrsa2324_fishtaxa.csv,nrsa2324_fishtaxa_metadata.csv,16,16,https://www.epa.gov/system/files/other-files/2026-06/nrsa2324_fishtaxa.csv,https://www.epa.gov/system/files/other-files/2026-06/nrsa2324_fishtaxa_metadata.csv
2324,PERIPHYTON_BIOMASS,Periphyton Biomass,NRSA 2324 Periphyton Biomass,periphyton_biomass,nrsa2324_periphytonbiomass.csv,nrsa2324_periphytonbiomass_metadata.csv,32,32,https://www.epa.gov/system/files/other-files/2026-06/nrsa2324_periphytonbiomass.csv,https://www.epa.gov/system/files/other-files/2026-06/nrsa2324_periphytonbiomass_metadata.csv
2324,PERIPHYTON_CHLA,Chlorophyll-a,NRSA 2324 Periphyton Chlorophyll-a,periphyton_chla,nrsa2324_periphytonchlorophyll-a.csv,nrsa2324_periphytonchlorophyll-a_metadata.csv,29,29,https://www.epa.gov/system/files/other-files/2026-06/nrsa2324_periphytonchlorophyll-a.csv,https://www.epa.gov/system/files/other-files/2026-06/nrsa2324_periphytonchlorophyll-a_metadata.csv
2324,PHAB,Physical Habitat,NRSA 2324 Physical Habitat Metrics,phab,nrsa2324_physicalhabitat_metrics.csv,nrsa2324_physicalhabitat_metrics_metadata.csv,151,287,https://www.epa.gov/system/files/other-files/2026-06/nrsa2324_physicalhabitat_metrics.csv,https://www.epa.gov/system/files/other-files/2026-06/nrsa2324_physicalhabitat_metrics_metadata.csv
