cycle,source_dataset,indicator,database_style_key,epa_short_name,epa_label_description,boatable_label,wadeable_label,sample_or_record_type,units,legal_values_format,range_low,range_high,metadata_name_column,convenience_prefix
1314,NRSA 1314 Key Variables and Classification Categories,All / Key Variables,keyvars_AG_ECO3_NM,AG_ECO3_NM,NARS 3-level reporting region Name,,,DESIGN,,Text names,,,PARAMETER,keyvars
1314,NRSA 1314 Key Variables and Classification Categories,All / Key Variables,keyvars_AG_ECO9_NM,AG_ECO9_NM,NARS 9-level reporting region Name,,,DESIGN,,Text names,,,PARAMETER,keyvars
1314,NRSA 1314 Key Variables and Classification Categories,All / Key Variables,keyvars_ANC,ANC,Acid Neutralizing Capacity - MG N/L,,,CHEM,,,,,PARAMETER,keyvars
1314,NRSA 1314 Key Variables and Classification Categories,All / Key Variables,keyvars_ANC_COND,ANC_COND,Site condition class based on acidity,,,CHEM,,None|Episodic|ACID-AMD|ACID-aciddep|ACID-organic|No Data,,,PARAMETER,keyvars
1314,NRSA 1314 Key Variables and Classification Categories,All / Key Variables,keyvars_BEDSED_COND,BEDSED_COND,"Bed sediment condition, based on log relative bed stability (LRBS_use)",,,PHAB,,Good|Fair|Poor|Not Assessed,,,PARAMETER,keyvars
1314,NRSA 1314 Key Variables and Classification Categories,All / Key Variables,keyvars_BENT_MMI_COND,BENT_MMI_COND,Condition class based on benthic MMI score,,,BERW,,Good|Fair|Poor|Not Assessed,,,PARAMETER,keyvars
1314,NRSA 1314 Key Variables and Classification Categories,All / Key Variables,keyvars_BENT_MMI_COND,BENT_MMI_COND,Condition class based on benthic MMI score,,,BETB,,Good|Fair|Poor|Not Assessed,,,PARAMETER,keyvars
1314,NRSA 1314 Key Variables and Classification Categories,All / Key Variables,keyvars_COND,COND,Conductivity - US/CM AT 25 C,,,CHEM,,,,,PARAMETER,keyvars
1314,NRSA 1314 Key Variables and Classification Categories,All / Key Variables,keyvars_DATE_COL,DATE_COL,Date of data collection in field,,,,,,,,PARAMETER,keyvars
1314,NRSA 1314 Key Variables and Classification Categories,All / Key Variables,keyvars_DATE_COL,DATE_COL,Date of data collection in field,,,VERIF,,,,,PARAMETER,keyvars
1314,NRSA 1314 Key Variables and Classification Categories,All / Key Variables,keyvars_DOC,DOC,Dissolved Organic Carbon - MG/L,,,CHEM,,,,,PARAMETER,keyvars
