cycle,source_dataset,indicator,database_style_key,epa_short_name,epa_label_description,boatable_label,wadeable_label,sample_or_record_type,legal_values_format,range_low,range_high,metadata_name_column,convenience_prefix
1819,NRSA 1819 Algal Toxin,Algal Toxin,algaltox_ABSORBANCE,ABSORBANCE,Absorbance value,,,MICX,,,,PARAMETER,algaltox
1819,NRSA 1819 Algal Toxin,Algal Toxin,algaltox_ABSORBANCE_UNITS,ABSORBANCE_UNITS,Units for parameter ABSORBANCE,,,COLUMN,,,,PARAMETER,algaltox
1819,NRSA 1819 Algal Toxin,Algal Toxin,algaltox_AG_ECO9,AG_ECO9,"NARS 9-level reporting region (2015), based on aggregated Omernik Level III ecoregions",,,DESIGN,,,,PARAMETER,algaltox
1819,NRSA 1819 Algal Toxin,Algal Toxin,algaltox_ANALYST,ANALYST,Laboratory analyst,,,MICX,,,,PARAMETER,algaltox
1819,NRSA 1819 Algal Toxin,Algal Toxin,algaltox_ANALYTE,ANALYTE,Analyte,,,COLUMN,,,,PARAMETER,algaltox
1819,NRSA 1819 Algal Toxin,Algal Toxin,algaltox_BATCH_ID,BATCH_ID,Laboratory batch number,,,COLUMN,,,,PARAMETER,algaltox
1819,NRSA 1819 Algal Toxin,Algal Toxin,algaltox_BATCH_ID,BATCH_ID,Laboratory Batch ID,,,COLUMN,,,,PARAMETER,algaltox
1819,NRSA 1819 Algal Toxin,Algal Toxin,algaltox_CONDITION_CODE,CONDITION_CODE,Condition of sample code,,,MICX,,,,PARAMETER,algaltox
1819,NRSA 1819 Algal Toxin,Algal Toxin,algaltox_DATE_ANALYZED,DATE_ANALYZED,Date sample analyzed,,,MICX,,,,PARAMETER,algaltox
1819,NRSA 1819 Algal Toxin,Algal Toxin,algaltox_DATE_COL,DATE_COL,Date collected,,,VERIF,|01|02|03|04|05|06|07|08|09|10|11|12,,,PARAMETER,algaltox
1819,NRSA 1819 Algal Toxin,Algal Toxin,algaltox_DATE_RECEIVED,DATE_RECEIVED,Date sample received by lab,,,MICX,,,,PARAMETER,algaltox
1819,NRSA 1819 Algal Toxin,Algal Toxin,algaltox_DILUTION_FACTOR,DILUTION_FACTOR,Dilution factor,,,MICX,,,,PARAMETER,algaltox
1819,NRSA 1819 Algal Toxin,Algal Toxin,algaltox_EPA_REG,EPA_REG,EPA Region,,,DESIGN,,,,PARAMETER,algaltox
1819,NRSA 1819 Algal Toxin,Algal Toxin,algaltox_KIT_ID,KIT_ID,"Kit identification code. If one does not exist, assign a unique code to each kit.",,,MICX,,,,PARAMETER,algaltox
1819,NRSA 1819 Algal Toxin,Algal Toxin,algaltox_LAB,LAB,Laboratory processing sample,,,COLUMN,,,,PARAMETER,algaltox
1819,NRSA 1819 Algal Toxin,Algal Toxin,algaltox_MATRIX,MATRIX,Material used for analysis,,,COLUMN,,,,PARAMETER,algaltox
1819,NRSA 1819 Algal Toxin,Algal Toxin,algaltox_MATRIX,MATRIX,"Type of sample (e.g., water, sediment, tissue)",,,COLUMN,,,,PARAMETER,algaltox
1819,NRSA 1819 Algal Toxin,Algal Toxin,algaltox_MDL,MDL,Minimum Detection Limit,,,MICX,,,,PARAMETER,algaltox
1819,NRSA 1819 Algal Toxin,Algal Toxin,algaltox_NARS_FLAG,NARS_FLAG,NARS flag,,,MICX,,,,PARAMETER,algaltox
1819,NRSA 1819 Algal Toxin,Algal Toxin,algaltox_PUBLICATION_DATE,PUBLICATION_DATE,Date the dataset was published to the NARS site,,,COLUMN,,,,PARAMETER,algaltox
1819,NRSA 1819 Algal Toxin,Algal Toxin,algaltox_PUBLICATION_DATE,PUBLICATION_DATE,Date of data file publication,,,COLUMN,,,,PARAMETER,algaltox
1819,NRSA 1819 Algal Toxin,Algal Toxin,algaltox_RESULT,RESULT,Value of associated parameter,,,COLUMN,,,,PARAMETER,algaltox
