cycle,source_dataset,indicator,database_style_key,epa_short_name,epa_definition_what_it_measures,sample_or_record_type,legal_values_format,range_low,range_high,metadata_name_column,convenience_prefix
2324,NRSA 2324 Algal Toxin,Algal Toxin,algaltox_ABSORBANCE,ABSORBANCE,Absorbance,MICX,,,,PARAMETER,algaltox
2324,NRSA 2324 Algal Toxin,Algal Toxin,algaltox_ABSORBANCE_UNITS,ABSORBANCE_UNITS,Units for parameter ABSORBANCE,COLUMN,,,,PARAMETER,algaltox
2324,NRSA 2324 Algal Toxin,Algal Toxin,algaltox_ANALYST,ANALYST,Laboratory analyst,MICX,,,,PARAMETER,algaltox
2324,NRSA 2324 Algal Toxin,Algal Toxin,algaltox_ANALYTE,ANALYTE,Analyte,COLUMN,,,,PARAMETER,algaltox
2324,NRSA 2324 Algal Toxin,Algal Toxin,algaltox_BATCH_ID,BATCH_ID,Laboratory Batch ID,COLUMN,,,,PARAMETER,algaltox
2324,NRSA 2324 Algal Toxin,Algal Toxin,algaltox_COND_COMMENT,COND_COMMENT,Condition of sample on arrival at laboratory,MICX,,,,PARAMETER,algaltox
2324,NRSA 2324 Algal Toxin,Algal Toxin,algaltox_CONDITION_CODE,CONDITION_CODE,Condition of sample code,MICX,,,,PARAMETER,algaltox
2324,NRSA 2324 Algal Toxin,Algal Toxin,algaltox_DATE_ANALYZED,DATE_ANALYZED,Date sample analyzed,MICX,,,,PARAMETER,algaltox
2324,NRSA 2324 Algal Toxin,Algal Toxin,algaltox_DATE_COL,DATE_COL,Date of data collection in field,VERIF,,,,PARAMETER,algaltox
2324,NRSA 2324 Algal Toxin,Algal Toxin,algaltox_DATE_RECEIVED,DATE_RECEIVED,Date sample received,MICX,,,,PARAMETER,algaltox
2324,NRSA 2324 Algal Toxin,Algal Toxin,algaltox_DILUTION_FACTOR,DILUTION_FACTOR,Dilution factor,MICX,,,,PARAMETER,algaltox
2324,NRSA 2324 Algal Toxin,Algal Toxin,algaltox_KIT_ID,KIT_ID,"Kit identification code. If one does not exist, assign a unique code to each kit.",MICX,,,,PARAMETER,algaltox
2324,NRSA 2324 Algal Toxin,Algal Toxin,algaltox_LAB,LAB,Laboratory processing sample,COLUMN,,,,PARAMETER,algaltox
2324,NRSA 2324 Algal Toxin,Algal Toxin,algaltox_LAB_COMMENT,LAB_COMMENT,Laboratory comment,COLUMN,,,,PARAMETER,algaltox
2324,NRSA 2324 Algal Toxin,Algal Toxin,algaltox_MATRIX,MATRIX,"Type of sample (e.g., water, sediment, tissue)",COLUMN,,,,PARAMETER,algaltox
2324,NRSA 2324 Algal Toxin,Algal Toxin,algaltox_MDL,MDL,Minimum Detection Limit,MICX,,,,PARAMETER,algaltox
2324,NRSA 2324 Algal Toxin,Algal Toxin,algaltox_NARS_COMMENT,NARS_COMMENT,Comment to explain NARS_COMMENT when necessary,COLUMN,,,,PARAMETER,algaltox
2324,NRSA 2324 Algal Toxin,Algal Toxin,algaltox_NARS_FLAG,NARS_FLAG,"Flag assigned by NARS: ND = Non-detect, L = Estimated, Q = Quality-related issue, S = Shipping time exceedence, H = Holding time exceedence, NR = No lab result for analyte",MICX,,,,PARAMETER,algaltox
2324,NRSA 2324 Algal Toxin,Algal Toxin,algaltox_PSTL_CODE,PSTL_CODE,"State two letter postal code for site sampled. 50 state postal codes plus AS, MP, GU, PR, VI for American Samoa, Commonwealth of Northern Marianas, Guam, Puerto Rico and Virgin Islands. No missing or \blank\"" values allowed.""",DESIGN,,,,PARAMETER,algaltox
