cycle,database_style_key,epa_short_name,indicator,source_dataset,epa_definition_what_it_measures,definition_source,sample_or_record_type_s,units,legal_values_format,range_low,range_high,definition_status,convenience_prefix,appears_in_count_datasets,metadata_record_count
1314,keyvars_AG_ECO3_NM,AG_ECO3_NM,All / Key Variables,NRSA 1314 Key Variables and Classification Categories,NARS 3-level reporting region Name,2013–2014 EPA metadata,DESIGN,,Text names,,,Single metadata definition,keyvars,2,1
1314,keyvars_AG_ECO9_NM,AG_ECO9_NM,All / Key Variables,NRSA 1314 Key Variables and Classification Categories,NARS 9-level reporting region Name,2013–2014 EPA metadata,DESIGN,,Text names,,,Single metadata definition,keyvars,7,1
1314,keyvars_ANC,ANC,All / Key Variables,NRSA 1314 Key Variables and Classification Categories,Acid Neutralizing Capacity - MG N/L,2013–2014 EPA metadata,CHEM,,,,,Single metadata definition,keyvars,2,1
1314,keyvars_ANC_COND,ANC_COND,All / Key Variables,NRSA 1314 Key Variables and Classification Categories,Site condition class based on acidity,2013–2014 EPA metadata,CHEM,,None|Episodic|ACID-AMD|ACID-aciddep|ACID-organic|No Data,,,Single metadata definition,keyvars,1,1
1314,keyvars_BEDSED_COND,BEDSED_COND,All / Key Variables,NRSA 1314 Key Variables and Classification Categories,"Bed sediment condition, based on log relative bed stability (LRBS_use)",2013–2014 EPA metadata,PHAB,,Good|Fair|Poor|Not Assessed,,,Single metadata definition,keyvars,1,1
1314,keyvars_BENT_MMI_COND,BENT_MMI_COND,All / Key Variables,NRSA 1314 Key Variables and Classification Categories,Condition class based on benthic MMI score,2013–2014 EPA metadata,BERW | BETB,,Good|Fair|Poor|Not Assessed,,,Same label appears for multiple sample/record types,keyvars,1,2
1314,keyvars_COND,COND,All / Key Variables,NRSA 1314 Key Variables and Classification Categories,Conductivity - US/CM AT 25 C,2013–2014 EPA metadata,CHEM,,,,,Single metadata definition,keyvars,1,1
1314,keyvars_DATE_COL,DATE_COL,All / Key Variables,NRSA 1314 Key Variables and Classification Categories,Date of data collection in field,2013–2014 EPA metadata,VERIF,,,,,Same label appears for multiple sample/record types,keyvars,14,2
1314,keyvars_DOC,DOC,All / Key Variables,NRSA 1314 Key Variables and Classification Categories,Dissolved Organic Carbon - MG/L,2013–2014 EPA metadata,CHEM,,,,,Single metadata definition,keyvars,2,1
1314,keyvars_ENT_1X_CCE_100ML,ENT_1X_CCE_100ML,All / Key Variables,NRSA 1314 Key Variables and Classification Categories,"Estimated enterococci CCE / 100 mL of water sample volume from ORD analysis of undiluted DNA extracts and CCE / extract calculations from EPA Method 1609 calculation spreadsheet. CCE are based on 15:1 calibrator target sequence equivalent (CSE) to CCE ratio established for RWQC guideline values. CCE / extract was multiplied by 100 ÷ filtered sample volume to obtain final estimate /100 ml. ""QC fail"" denotes analysis results that did not meet Method 1609 control assay acceptance criteria.",2013–2014 EPA metadata,ENTE,,,,,Single metadata definition,keyvars,2,1
1314,keyvars_ENT_1X_STV_COND,ENT_1X_STV_COND,All / Key Variables,NRSA 1314 Key Variables and Classification Categories,Estimated enterococci CCE / 100 mL of water sample volume from ORD analyses of undiluted DNA extract and calculations from EPA Method 1609 calculation spreadsheet exceeds (1) or is less than (0) RWQC STV value of 1280 CCE/100 mL.,2013–2014 EPA metadata,ENTE,,,,,Single metadata definition,keyvars,1,1
1314,keyvars_EPA_REG,EPA_REG,All / Key Variables,NRSA 1314 Key Variables and Classification Categories,EPA Region,2013–2014 EPA metadata,DESIGN,,Region_1 | Region_2 | Region_3 | Region_4 | Region_5 | Region_6 | Region_7 | Region_8 | Region_9 | Region_10,,,Single metadata definition,keyvars,2,1
1314,keyvars_FISH_MMI_COND,FISH_MMI_COND,All / Key Variables,NRSA 1314 Key Variables and Classification Categories,"Fish assemblage condition, based on regional Fish MMI.",2013–2014 EPA metadata,FISH,,Good|Fair|Poor|Not Assessed|Insufficient Sampling|No Data,,,Single metadata definition,keyvars,1,1
1314,keyvars_FS_EW,FS_EW,All / Key Variables,NRSA 1314 Key Variables and Classification Categories,Eastern or western US Forest Service land,2013–2014 EPA metadata,DESIGN,,East | West | blank if not US Forest Service land,,,Single metadata definition,keyvars,2,1
1314,keyvars_HG_COND,HG_COND,All / Key Variables,NRSA 1314 Key Variables and Classification Categories,Site condition class based on mercury concentration in fish tissue,2013–2014 EPA metadata,FPLG,,Does Not Exceed 300 mg Hg/g ww|Exceeds 300 mg Hg/g ww|No Data|Not Assessed|No Sample Collected,,,Single metadata definition,keyvars,1,1
1314,keyvars_INSTRMCVR_COND,INSTRMCVR_COND,All / Key Variables,NRSA 1314 Key Variables and Classification Categories,"Instream cover condition, based in log natural fish cover (L_XFC_NAT)",2013–2014 EPA metadata,PHAB,,Good|Fair|Poor|Not Assessed,,,Single metadata definition,keyvars,1,1
1314,keyvars_L_XCMGW,L_XCMGW,All / Key Variables,NRSA 1314 Key Variables and Classification Categories,Log10(XCMGW + 0.01,2013–2014 EPA metadata,PHAB,,,,,Single metadata definition,keyvars,2,1
1314,keyvars_L_XFC_NAT,L_XFC_NAT,All / Key Variables,NRSA 1314 Key Variables and Classification Categories,Log10(XFC_NAT + 0.01),2013–2014 EPA metadata,PHAB,,,,,Single metadata definition,keyvars,2,1
1314,keyvars_LAT_DD83,LAT_DD83,All / Key Variables,NRSA 1314 Key Variables and Classification Categories,Latitude (based on NAD83 datum) for stream site from NHD-based sample frame. | Latitude in decimal degrees NAD83,2013–2014 EPA metadata,DESIGN | LANDSCAPE,,Numeric,,,Multiple protocol-specific labels — see Metadata Detail,keyvars,8,2
