cycle,database_style_key,epa_short_name,indicator,source_dataset,epa_definition_what_it_measures,sample_or_record_type_s,legal_values_format,range_low,range_high,definition_status,convenience_prefix,appears_in_count_datasets,metadata_record_count
2324,algaltox_ABSORBANCE,ABSORBANCE,Algal Toxin,NRSA 2324 Algal Toxin,Absorbance,MICX,,,,Single metadata definition,algaltox,1,1
2324,algaltox_ABSORBANCE_UNITS,ABSORBANCE_UNITS,Algal Toxin,NRSA 2324 Algal Toxin,Units for parameter ABSORBANCE,COLUMN,,,,Single metadata definition,algaltox,1,1
2324,algaltox_ANALYST,ANALYST,Algal Toxin,NRSA 2324 Algal Toxin,Laboratory analyst,MICX,,,,Single metadata definition,algaltox,2,1
2324,algaltox_ANALYTE,ANALYTE,Algal Toxin,NRSA 2324 Algal Toxin,Analyte,COLUMN,,,,Single metadata definition,algaltox,4,1
2324,algaltox_BATCH_ID,BATCH_ID,Algal Toxin,NRSA 2324 Algal Toxin,Laboratory Batch ID,COLUMN,,,,Single metadata definition,algaltox,5,1
2324,algaltox_COND_COMMENT,COND_COMMENT,Algal Toxin,NRSA 2324 Algal Toxin,Condition of sample on arrival at laboratory,MICX,,,,Single metadata definition,algaltox,1,1
2324,algaltox_CONDITION_CODE,CONDITION_CODE,Algal Toxin,NRSA 2324 Algal Toxin,Condition of sample code,MICX,,,,Single metadata definition,algaltox,2,1
2324,algaltox_DATE_ANALYZED,DATE_ANALYZED,Algal Toxin,NRSA 2324 Algal Toxin,Date sample analyzed,MICX,,,,Single metadata definition,algaltox,3,1
2324,algaltox_DATE_COL,DATE_COL,Algal Toxin,NRSA 2324 Algal Toxin,Date of data collection in field,VERIF,,,,Single metadata definition,algaltox,15,1
2324,algaltox_DATE_RECEIVED,DATE_RECEIVED,Algal Toxin,NRSA 2324 Algal Toxin,Date sample received,MICX,,,,Single metadata definition,algaltox,3,1
2324,algaltox_DILUTION_FACTOR,DILUTION_FACTOR,Algal Toxin,NRSA 2324 Algal Toxin,Dilution factor,MICX,,,,Single metadata definition,algaltox,2,1
2324,algaltox_KIT_ID,KIT_ID,Algal Toxin,NRSA 2324 Algal Toxin,"Kit identification code. If one does not exist, assign a unique code to each kit.",MICX,,,,Single metadata definition,algaltox,1,1
2324,algaltox_LAB,LAB,Algal Toxin,NRSA 2324 Algal Toxin,Laboratory processing sample,COLUMN,,,,Single metadata definition,algaltox,6,1
2324,algaltox_LAB_COMMENT,LAB_COMMENT,Algal Toxin,NRSA 2324 Algal Toxin,Laboratory comment,COLUMN,,,,Single metadata definition,algaltox,1,1
2324,algaltox_MATRIX,MATRIX,Algal Toxin,NRSA 2324 Algal Toxin,"Type of sample (e.g., water, sediment, tissue)",COLUMN,,,,Single metadata definition,algaltox,6,1
2324,algaltox_MDL,MDL,Algal Toxin,NRSA 2324 Algal Toxin,Minimum Detection Limit,MICX,,,,Single metadata definition,algaltox,3,1
2324,algaltox_NARS_COMMENT,NARS_COMMENT,Algal Toxin,NRSA 2324 Algal Toxin,Comment to explain NARS_COMMENT when necessary,COLUMN,,,,Single metadata definition,algaltox,2,1
2324,algaltox_NARS_FLAG,NARS_FLAG,Algal Toxin,NRSA 2324 Algal Toxin,"Flag assigned by NARS: ND = Non-detect, L = Estimated, Q = Quality-related issue, S = Shipping time exceedence, H = Holding time exceedence, NR = No lab result for analyte",MICX,,,,Single metadata definition,algaltox,5,1
2324,algaltox_PSTL_CODE,PSTL_CODE,Algal Toxin,NRSA 2324 Algal Toxin,"State two letter postal code for site sampled. 50 state postal codes plus AS, MP, GU, PR, VI for American Samoa, Commonwealth of Northern Marianas, Guam, Puerto Rico and Virgin Islands. No missing or \blank\"" values allowed.""",DESIGN,,,,Single metadata definition,algaltox,15,1
2324,algaltox_PUBLICATION_DATE,PUBLICATION_DATE,Algal Toxin,NRSA 2324 Algal Toxin,Date of data file publication,COLUMN,,,,Single metadata definition,algaltox,16,1
2324,algaltox_QA_FLAG,QA_FLAG,Algal Toxin,NRSA 2324 Algal Toxin,QA flag from laboratory,MICX,,,,Single metadata definition,algaltox,3,1
2324,algaltox_RESULT,RESULT,Algal Toxin,NRSA 2324 Algal Toxin,Value of associated parameter,COLUMN,,,,Single metadata definition,algaltox,4,1
2324,algaltox_RESULT_UNITS,RESULT_UNITS,Algal Toxin,NRSA 2324 Algal Toxin,Result unit,COLUMN,,,,Single metadata definition,algaltox,3,1
2324,algaltox_RL,RL,Algal Toxin,NRSA 2324 Algal Toxin,Reporting Limit,MICX,,,,Single metadata definition,algaltox,4,1
2324,algaltox_SAM_CODE,SAM_CODE,Algal Toxin,NRSA 2324 Algal Toxin,"Sample code (e.g., regular, lab duplicate, lab split)",COLUMN,,,,Single metadata definition,algaltox,6,1
2324,algaltox_SAMPLE_ID,SAMPLE_ID,Algal Toxin,NRSA 2324 Algal Toxin,Field sample ID,MICX,,,,Single metadata definition,algaltox,4,1
2324,algaltox_SAMPLE_TYPE,SAMPLE_TYPE,Algal Toxin,NRSA 2324 Algal Toxin,"Code identifying sample type: MICX=Microcystin, CYLSPER=Cylindrospermopsin, MICZ=Microcystin in legacy bottle type",COLUMN,,,,Single metadata definition,algaltox,7,1
2324,algaltox_SITE_ID,SITE_ID,Algal Toxin,NRSA 2324 Algal Toxin,"Site ID for the study and year sampled. Preferred form is NRSnn_MM-xxxxx where nn is current cycle year (04, 08, 13, 18, etc), MM is two letter state code, and xxxxx is between 10001 and 99999. No missing or \blank\"" values allowed.""",DESIGN,,,,Single metadata definition,algaltox,15,1
2324,algaltox_UID,UID,Algal Toxin,NRSA 2324 Algal Toxin,Unique site visit ID,COLUMN,,,,Single metadata definition,algaltox,15,1
2324,algaltox_UNIQUE_ID,UNIQUE_ID,Algal Toxin,NRSA 2324 Algal Toxin,Unique site ID based on location that does not depend on year sampled or any other factor. Form is NRS_ss_nnnnn where ss state and nnnnn is number that starts at 10001. No missing values allowed.,COLUMN,,,,Single metadata definition,algaltox,15,1
2324,algaltox_VISIT_NO,VISIT_NO,Algal Toxin,NRSA 2324 Algal Toxin,Number identifying which visit this is,VERIF,|1|2,,,Single metadata definition,algaltox,15,1
2324,benthic_count_CLASS,CLASS,Benthic Macroinvertebrates,NRSA 2324 Benthic Count,Class of taxon,TAXA: Invertebrates,,,,Single metadata definition,benthic_count,2,1
2324,benthic_count_DATE_COL,DATE_COL,Benthic Macroinvertebrates,NRSA 2324 Benthic Count,Date of data collection in field,VERIF,,,,Single metadata definition,benthic_count,15,1
2324,benthic_count_FAMILY,FAMILY,Benthic Macroinvertebrates,NRSA 2324 Benthic Count,Family of taxon,TAXA: Invertebrates,,,,Single metadata definition,benthic_count,3,1
2324,benthic_count_FFG,FFG,Benthic Macroinvertebrates,NRSA 2324 Benthic Count,"Functional feeding group used in metric calculations;Collector-filterer(CF),Collector-gatherer(CG),Parasite(PA),Piercer(PI),Scraper(SC),Shredder(SH)",TAXA: Invertebrates,,,,Single metadata definition,benthic_count,2,1
2324,benthic_count_GENUS,GENUS,Benthic Macroinvertebrates,NRSA 2324 Benthic Count,Genus of taxon,TAXA: Invertebrates,,,,Single metadata definition,benthic_count,3,1
