comid,stream_order,drainage_area_sqkm,fetched_at
5545,1.0,15.4224,2026-09-08T01:10:58Z
14978,5.0,1596.6549,2026-09-08T01:10:58Z
188341,3.0,69.5232,2026-09-08T01:10:58Z
191411,5.0,6813.9126,2026-09-08T01:10:58Z
197391,5.0,836.3799,2026-09-08T01:10:58Z
198377,5.0,645.4872,2026-09-08T01:10:58Z
207107,4.0,1614.708,2026-09-08T01:10:58Z
225801,5.0,12656.007,2026-09-08T01:10:58Z
229493,5.0,12216.2967,2026-09-08T01:10:58Z
229537,2.0,20.403,2026-09-08T01:10:58Z
238848,3.0,15.3756,2026-09-08T01:10:58Z
243696,4.0,294.5439,2026-09-08T01:10:58Z
249354,6.0,32996.3571,2026-09-08T01:10:58Z
255614,6.0,36418.1112,2026-09-08T01:10:58Z
266295,3.0,121.5261,2026-09-08T01:10:58Z
267163,3.0,473.0373,2026-09-08T01:10:58Z
268115,8.0,81734.2983,2026-09-08T01:10:58Z
285292,8.0,204063.1254,2026-09-08T01:10:58Z
287743,5.0,2235.5721,2026-09-08T01:10:58Z
291315,8.0,171296.2872,2026-09-08T01:10:58Z
309175,8.0,90668.7756,2026-09-08T01:10:58Z
317879,3.0,480.3408,2026-09-08T01:10:58Z
319389,8.0,321142.0671,2026-09-08T01:10:58Z
324061,3.0,222.6015,2026-09-08T01:10:58Z
337715,4.0,1298.4075,2026-09-08T01:10:58Z
338069,8.0,444207.4524,2026-09-08T01:10:58Z
344983,3.0,38.4417,2026-09-08T01:10:58Z
346783,3.0,18.8136,2026-09-08T01:10:58Z
362143,6.0,18489.1482,2026-09-08T01:10:58Z
362357,1.0,9.3357,2026-09-08T01:10:58Z
369135,8.0,217468.2753,2026-09-08T01:10:58Z
371319,8.0,220766.535,2026-09-08T01:10:58Z
372489,4.0,151.1532,2026-09-08T01:10:58Z
380740,1.0,2.8494,2026-09-08T01:10:58Z
381802,8.0,275306.8626,2026-09-08T01:10:58Z
390116,6.0,32302.5741,2026-09-08T01:10:58Z
391658,6.0,34220.2446,2026-09-08T01:10:58Z
398070,5.0,667.8711,2026-09-08T01:10:58Z
399870,6.0,2330.8155,2026-09-08T01:10:58Z
400170,5.0,772.7049,2026-09-08T01:10:58Z
415455,1.0,24.6483,2026-09-08T01:10:58Z
416965,6.0,39180.3876,2026-09-08T01:10:58Z
417907,6.0,37097.4609,2026-09-08T01:10:58Z
418111,3.0,153.6039,2026-09-08T01:10:58Z
418283,1.0,32.0679,2026-09-08T01:10:58Z
418537,6.0,37371.4794,2026-09-08T01:10:58Z
425068,7.0,77150.6289,2026-09-08T01:10:58Z
426310,7.0,77202.1287,2026-09-08T01:10:58Z
430066,4.0,192.8385,2026-09-08T01:10:58Z
430440,2.0,91.2366,2026-09-08T01:10:58Z
430554,6.0,19408.4514,2026-09-08T01:10:58Z
433832,6.0,3964.7457,2026-09-08T01:10:58Z
434844,6.0,2681.4528,2026-09-08T01:10:58Z
435500,5.0,1649.5353,2026-09-08T01:10:58Z
435510,1.0,4.3371,2026-09-08T01:10:58Z
436894,4.0,359.4168,2026-09-08T01:10:58Z
448520,6.0,10379.6973,2026-09-08T01:10:58Z
453762,6.0,3124.2771,2026-09-08T01:10:58Z
455266,2.0,16.9902,2026-09-08T01:10:58Z
455598,2.0,6.2901,2026-09-08T01:10:58Z
455918,1.0,6.804,2026-09-08T01:10:58Z
456516,1.0,5.4828,2026-09-08T01:10:58Z
465516,8.0,159237.828,2026-09-08T01:10:58Z
481956,4.0,760.1193,2026-09-08T01:10:58Z
484584,5.0,2315.9709,2026-09-08T01:10:58Z
487344,4.0,230.4198,2026-09-08T01:10:58Z
494500,6.0,75981.9267,2026-09-08T01:10:58Z
496338,3.0,55.1286,2026-09-08T01:10:58Z
504614,1.0,2.9925,2026-09-08T01:10:58Z
505098,1.0,2.4732,2026-09-08T01:10:58Z
512315,2.0,4.4109,2026-09-08T01:10:58Z
512849,8.0,120317.3694,2026-09-08T01:10:58Z
512939,8.0,119977.9965,2026-09-08T01:10:58Z
532469,3.0,34.542,2026-09-08T01:10:58Z
532475,4.0,256.6926,2026-09-08T01:10:58Z
533427,2.0,56.9601,2026-09-08T01:10:58Z
536075,1.0,3.5667,2026-09-08T01:10:58Z
536159,3.0,38.232,2026-09-08T01:10:58Z
536493,3.0,35.0361,2026-09-08T01:10:58Z
536817,5.0,3564.243,2026-09-08T01:10:58Z
536823,1.0,3.8925,2026-09-08T01:10:58Z
556903,3.0,66.2859,2026-09-08T01:10:58Z
557579,5.0,469.7406,2026-09-08T01:10:58Z
560591,5.0,618.444,2026-09-08T01:10:58Z
590048,5.0,929.2095,2026-09-08T01:10:58Z
592204,4.0,259.9848,2026-09-08T01:10:58Z
592260,4.0,264.4659,2026-09-08T01:10:58Z
592396,2.0,51.1227,2026-09-08T01:10:58Z
592740,6.0,3668.4342,2026-09-08T01:10:58Z
597232,6.0,3628.1412,2026-09-08T01:10:58Z
606891,4.0,330.8229,2026-09-08T01:10:58Z
616332,3.0,73.7964,2026-09-08T01:10:58Z
616754,4.0,858.2607,2026-09-08T01:10:58Z
616764,4.0,1891.8099,2026-09-08T01:10:58Z
617190,4.0,737.5491,2026-09-08T01:10:58Z
618460,2.0,66.6909,2026-09-08T01:10:58Z
625376,8.0,447407.955,2026-09-08T01:10:58Z
629419,4.0,127.8549,2026-09-08T01:10:58Z
629779,5.0,456.6681,2026-09-08T01:10:58Z
629821,5.0,239.9373,2026-09-08T01:10:58Z
629877,1.0,17.2602,2026-09-08T01:10:58Z
629919,1.0,8.6886,2026-09-08T01:10:58Z
630087,3.0,172.0665,2026-09-08T01:10:58Z
630377,6.0,1978.7589,2026-09-08T01:10:58Z
664578,1.0,16.8381,2026-09-08T01:10:58Z
666128,5.0,1459.6281,2026-09-08T01:10:58Z
673110,2.0,21.3948,2026-09-08T01:10:58Z
678891,5.0,709.8093,2026-09-08T01:10:58Z
678913,6.0,4023.1809,2026-09-08T01:10:58Z
682305,1.0,25.5402,2026-09-08T01:10:58Z
682635,6.0,9559.818,2026-09-08T01:10:58Z
682657,6.0,10165.7196,2026-09-08T01:10:58Z
684049,6.0,11228.3487,2026-09-08T01:10:58Z
700772,4.0,1601.136,2026-09-08T01:10:58Z
703952,2.0,9.2592,2026-09-08T01:10:58Z
705416,4.0,240.7689,2026-09-08T01:10:58Z
707124,6.0,2946.4425,2026-09-08T01:10:58Z
708022,1.0,7.7814,2026-09-08T01:10:58Z
