metric_key,cycle,origin,n
bent_AMPHNTAX,1314,epa_published,2255
bent_AMPHNTAX,1819,legacy_r_app,2105
bent_AMPHNTAX,2324,epa_published,2094
bent_AMPHPIND,1314,epa_published,2255
bent_AMPHPIND,1819,legacy_r_app,2105
bent_AMPHPIND,2324,epa_published,2094
bent_AMPHPTAX,1314,epa_published,2255
bent_AMPHPTAX,1819,legacy_r_app,2105
bent_AMPHPTAX,2324,epa_published,2094
bent_BURRNTAX,1314,epa_published,2255
bent_BURRNTAX,1819,legacy_r_app,2105
bent_BURRNTAX,2324,epa_published,2094
bent_BURRPIND,1314,epa_published,2255
bent_BURRPIND,1819,legacy_r_app,2105
bent_BURRPIND,2324,epa_published,2094
bent_BURRPTAX,1314,epa_published,2255
bent_BURRPTAX,1819,legacy_r_app,2105
bent_BURRPTAX,2324,epa_published,2094
bent_CHIRDOM1PIND,1314,epa_published,2255
bent_CHIRDOM1PIND,1819,legacy_r_app,2105
bent_CHIRDOM1PIND,2324,epa_published,2094
bent_CHIRDOM3PIND,1314,epa_published,2255
bent_CHIRDOM3PIND,1819,legacy_r_app,2105
bent_CHIRDOM3PIND,2324,epa_published,2094
bent_CHIRDOM5PIND,1314,epa_published,2255
bent_CHIRDOM5PIND,1819,legacy_r_app,2105
bent_CHIRDOM5PIND,2324,epa_published,2094
bent_CHIRNTAX,1314,epa_published,2255
bent_CHIRNTAX,1819,legacy_r_app,2105
bent_CHIRNTAX,2324,epa_published,2094
bent_CHIRPIND,1314,epa_published,2255
bent_CHIRPIND,1819,legacy_r_app,2105
bent_CHIRPIND,2324,epa_published,2094
bent_CHIRPTAX,1314,epa_published,2255
bent_CHIRPTAX,1819,legacy_r_app,2105
bent_CHIRPTAX,2324,epa_published,2094
bent_CLMBNTAX,1314,epa_published,2255
bent_CLMBNTAX,1819,legacy_r_app,2105
bent_CLMBNTAX,2324,epa_published,2094
bent_CLMBPIND,1314,epa_published,2255
bent_CLMBPIND,1819,legacy_r_app,2105
bent_CLMBPIND,2324,epa_published,2094
bent_CLMBPTAX,1314,epa_published,2255
bent_CLMBPTAX,1819,legacy_r_app,2105
bent_CLMBPTAX,2324,epa_published,2094
bent_CLNGNTAX,1314,epa_published,2255
bent_CLNGNTAX,1819,legacy_r_app,2105
bent_CLNGNTAX,2324,epa_published,2094
bent_CLNGPIND,1314,epa_published,2255
bent_CLNGPIND,1819,legacy_r_app,2105
bent_CLNGPIND,2324,epa_published,2094
bent_CLNGPTAX,1314,epa_published,2255
bent_CLNGPTAX,1819,legacy_r_app,2105
bent_CLNGPTAX,2324,epa_published,2094
bent_COFINTAX,1314,epa_published,2255
bent_COFINTAX,1819,legacy_r_app,2105
bent_COFINTAX,2324,epa_published,2094
bent_COFIPIND,1314,epa_published,2255
bent_COFIPIND,1819,legacy_r_app,2105
bent_COFIPIND,2324,epa_published,2094
bent_COFIPTAX,1314,epa_published,2255
bent_COFIPTAX,1819,legacy_r_app,2105
bent_COFIPTAX,2324,epa_published,2094
bent_COFITRICNTAX,1314,epa_published,2255
bent_COFITRICNTAX,1819,legacy_r_app,2105
bent_COFITRICNTAX,2324,epa_published,2094
bent_COFITRICPIND,1314,epa_published,2255
bent_COFITRICPIND,1819,legacy_r_app,2105
bent_COFITRICPIND,2324,epa_published,2094
bent_COFITRICPTAX,1314,epa_published,2255
bent_COFITRICPTAX,1819,legacy_r_app,2105
bent_COFITRICPTAX,2324,epa_published,2094
bent_COGANTAX,1314,epa_published,2255
bent_COGANTAX,1819,legacy_r_app,2105
bent_COGANTAX,2324,epa_published,2094
bent_COGAPIND,1314,epa_published,2255
bent_COGAPIND,1819,legacy_r_app,2105
bent_COGAPIND,2324,epa_published,2094
bent_COGAPTAX,1314,epa_published,2255
bent_COGAPTAX,1819,legacy_r_app,2105
bent_COGAPTAX,2324,epa_published,2094
bent_CRUSNTAX,1314,epa_published,2255
bent_CRUSNTAX,1819,legacy_r_app,2105
bent_CRUSNTAX,2324,epa_published,2094
bent_CRUSPIND,1314,epa_published,2255
bent_CRUSPIND,1819,legacy_r_app,2105
bent_CRUSPIND,2324,epa_published,2094
bent_CRUSPTAX,1314,epa_published,2255
bent_CRUSPTAX,1819,legacy_r_app,2105
bent_CRUSPTAX,2324,epa_published,2094
bent_DIPTNTAX,1314,epa_published,2255
bent_DIPTNTAX,1819,legacy_r_app,2105
bent_DIPTNTAX,2324,epa_published,2094
bent_DIPTPIND,1314,epa_published,2255
bent_DIPTPIND,1819,legacy_r_app,2105
bent_DIPTPIND,2324,epa_published,2094
bent_DIPTPTAX,1314,epa_published,2255
bent_DIPTPTAX,1819,legacy_r_app,2105
bent_DIPTPTAX,2324,epa_published,2094
bent_DOM1PIND,1314,epa_published,2255
bent_DOM1PIND,1819,legacy_r_app,2105
bent_DOM1PIND,2324,epa_published,2094
bent_DOM3PIND,1314,epa_published,2255
bent_DOM3PIND,1819,legacy_r_app,2105
bent_DOM3PIND,2324,epa_published,2094
bent_DOM5PIND,1314,epa_published,2255
bent_DOM5PIND,1819,legacy_r_app,2105
bent_DOM5PIND,2324,epa_published,2094
bent_EPHENTAX,1314,epa_published,2255
bent_EPHENTAX,1819,legacy_r_app,2105
bent_EPHENTAX,2324,epa_published,2094
bent_EPHEPIND,1314,epa_published,2255
bent_EPHEPIND,1819,legacy_r_app,2105
bent_EPHEPIND,2324,epa_published,2094
bent_EPHEPTAX,1314,epa_published,2255
bent_EPHEPTAX,1819,legacy_r_app,2105
bent_EPHEPTAX,2324,epa_published,2094
bent_EPOTNTAX,1314,epa_published,2255
bent_EPOTNTAX,1819,legacy_r_app,2105
bent_EPOTNTAX,2324,epa_published,2094
bent_EPOTPIND,1314,epa_published,2255
bent_EPOTPIND,1819,legacy_r_app,2105
bent_EPOTPIND,2324,epa_published,2094
bent_EPOTPTAX,1314,epa_published,2255
bent_EPOTPTAX,1819,legacy_r_app,2105
bent_EPOTPTAX,2324,epa_published,2094
bent_EPT_NTAX,1314,epa_published,2255
bent_EPT_NTAX,1819,legacy_r_app,2105
bent_EPT_NTAX,2324,epa_published,2094
bent_EPT_PIND,1314,epa_published,2255
bent_EPT_PIND,1819,legacy_r_app,2105
bent_EPT_PIND,2324,epa_published,2094
bent_EPT_PTAX,1314,epa_published,2255
bent_EPT_PTAX,1819,legacy_r_app,2105
bent_EPT_PTAX,2324,epa_published,2094
bent_FACLNTAX,1314,epa_published,2255
bent_FACLNTAX,1819,legacy_r_app,2105
