"name","raw_name","category","label","units","core"
"chem_AMMONIA_N","AMMONIA_N_RESULT","Water chemistry","AMMONIA_N","mg N/L",FALSE
"chem_ANC","ANC_RESULT","Water chemistry","ANC","uEQ/L",TRUE
"chem_CALCIUM","CALCIUM_RESULT","Water chemistry","CALCIUM","mg/L",FALSE
"chem_CHLORIDE","CHLORIDE_RESULT","Water chemistry","CHLORIDE","mg/L",TRUE
"chem_COLOR","COLOR_RESULT","Water chemistry","COLOR","APHA PT-CO",FALSE
"chem_COND","COND_RESULT","Water chemistry","COND","uS/cm",TRUE
"chem_DOC","DOC_RESULT","Water chemistry","DOC","mg/L",TRUE
"chem_MAGNESIUM","MAGNESIUM_RESULT","Water chemistry","MAGNESIUM","mg/L",FALSE
"chem_NITRATE_N","NITRATE_N_RESULT","Water chemistry","NITRATE_N","mg N/L",FALSE
"chem_NITRATE_NITRITE_N","NITRATE_NITRITE_N_RESULT","Water chemistry","NITRATE_NITRITE_N","mg N/L",FALSE
"chem_NITRITE_N","NITRITE_N_RESULT","Water chemistry","NITRITE_N","mg N/L",FALSE
"chem_NTL_DISS","NTL_DISS_RESULT","Water chemistry","NTL_DISS","mg N/L",FALSE
"chem_NTL","NTL_RESULT","Water chemistry","NTL","mg N/L",TRUE
"chem_PH","PH_RESULT","Water chemistry","PH","Std. Units",TRUE
"chem_POTASSIUM","POTASSIUM_RESULT","Water chemistry","POTASSIUM","mg/L",FALSE
"chem_PTL_DISS","PTL_DISS_RESULT","Water chemistry","PTL_DISS","ug/L",FALSE
"chem_PTL","PTL_RESULT","Water chemistry","PTL","ug/L",TRUE
"chem_SILICA","SILICA_RESULT","Water chemistry","SILICA","mg/L",FALSE
"chem_SODIUM","SODIUM_RESULT","Water chemistry","SODIUM","mg/L",FALSE
"chem_SULFATE","SULFATE_RESULT","Water chemistry","SULFATE","mg/L",FALSE
"chem_TKN","TKN_RESULT","Water chemistry","TKN","mg N/L",FALSE
"chem_TSS","TSS_RESULT","Water chemistry","TSS","mg/L",FALSE
"chem_TURB","TURB_RESULT","Water chemistry","TURB","NTU",TRUE
"chem_CHLA","CHLA_RESULT","Water chemistry","CHLA","ug/L",TRUE
"chem_PHEO","PHEO_RESULT","Water chemistry","PHEO","",FALSE
"phab_XBKA","XBKA","Physical habitat","XBKA","",FALSE
"phab_MEDBK_A","MEDBK_A","Physical habitat","MEDBK_A","",TRUE
"phab_XUN","XUN","Physical habitat","XUN","",FALSE
"phab_MEDBKUN","MEDBKUN","Physical habitat","MEDBKUN","",FALSE
