"site_id","site_name","lat","lon","state","us_l3code","us_l3name","ag_eco9","huc8","source"
"NRS18_OK_10062","NRS18_OK_10062",35.545389,-99.722705,"Oklahoma","27","Central Great Plains","SPL","H11130301","NRSA 2018-19"
"NRS18_OK_10431","NRS18_OK_10431",36.902168,-95.164255,"Oklahoma","40","Central Irregular Plains","TPL","H11070209","NRSA 2018-19"
"NRS18_OK_10025","NRS18_OK_10025",33.929449,-96.070242,"Oklahoma","35","South Central Plains","CPL","H11140102","NRSA 2018-19"
"NRS18_WI_10091","NRS18_WI_10091",42.536868,-89.39556,"Wisconsin","53","Southeastern Wisconsin Till Plains","TPL","H07090004","NRSA 2018-19"
"NRS18_WI_10006","NRS18_WI_10006",45.496257,-87.982493,"Wisconsin","50","Northern Lakes and Forests","UMW","H04030108","NRSA 2018-19"
"NRS18_OK_11085","NRS18_OK_11085",36.714416,-97.792954,"Oklahoma","27","Central Great Plains","SPL","H11060004","NRSA 2018-19"
"NRS18_WI_10053","NRS18_WI_10053",44.558196,-90.322509,"Wisconsin","51","North Central Hardwood Forests","UMW","H07040007","NRSA 2018-19"
"NRS18_OK_10053","NRS18_OK_10053",35.885363,-97.613483,"Oklahoma","27","Central Great Plains","SPL","H11050002","NRSA 2018-19"
"NRS18_WI_10036","NRS18_WI_10036",44.689156,-91.365093,"Wisconsin","52","Driftless Area","UMW","H07050006","NRSA 2018-19"
"NRS18_WI_10038","NRS18_WI_10038",44.790072,-92.529994,"Wisconsin","47","Western Corn Belt Plains","TPL","H07040001","NRSA 2018-19"
"NRS18_WI_10019","NRS18_WI_10019",44.818435,-91.879264,"Wisconsin","52","Driftless Area","UMW","H07050007","NRSA 2018-19"
"NRS18_NC_10014","NRS18_NC_10014",36.273895,-81.870956,"North Carolina","66","Blue Ridge","SAP","H06010103","NRSA 2018-19"
"NRS18_OK_10023","NRS18_OK_10023",35.148149,-94.701898,"Oklahoma","37","Arkansas Valley","SAP","H11110105","NRSA 2018-19"
"NRS18_OK_10029","NRS18_OK_10029",33.912216,-95.54936,"Oklahoma","35","South Central Plains","CPL","H11140101","NRSA 2018-19"
"NRS18_OK_10018","NRS18_OK_10018",36.760123,-96.289556,"Oklahoma","29","Cross Timbers","SPL","H11070106","NRSA 2018-19"
"NRS18_DE_10002","NRS18_DE_10002",39.700127,-75.633386,"Delaware","63","Middle Atlantic Coastal Plain","CPL","H02040205","NRSA 2018-19"
"NRS18_OK_10003","NRS18_OK_10003",35.965453,-96.368071,"Oklahoma","29","Cross Timbers","SPL","H11110101","NRSA 2018-19"
"NRS18_OK_10830","NRS18_OK_10830",34.45096,-94.681042,"Oklahoma","36","Ouachita Mountains","SAP","H11140108","NRSA 2018-19"
"NRS18_OK_10034","NRS18_OK_10034",34.635731,-95.12159,"Oklahoma","36","Ouachita Mountains","SAP","H11140105","NRSA 2018-19"
"NRS18_OK_11422","NRS18_OK_11422",35.373158,-98.679065,"Oklahoma","27","Central Great Plains","SPL","H11130302","NRSA 2018-19"
"NRS18_OK_10340","NRS18_OK_10340",36.270286,-95.725559,"Oklahoma","40","Central Irregular Plains","TPL","H11070105","NRSA 2018-19"
"NRS18_KS_10098","NRS18_KS_10098",38.157451,-100.189731,"Kansas","27","Central Great Plains","SPL","H11030005","NRSA 2018-19"
"NRS18_KS_10086","NRS18_KS_10086",39.895768,-101.707786,"Kansas","25","High Plains","SPL","H10250003","NRSA 2018-19"
"NRS18_OH_10050","NRS18_OH_10050",39.908385,-84.298164,"Ohio","55","Eastern Corn Belt Plains","TPL","H05080001","NRSA 2018-19"
"NRS18_KS_10103","NRS18_KS_10103",38.657671,-97.173311,"Kansas","27","Central Great Plains","SPL","H10260008","NRSA 2018-19"
"NRS18_OH_10023","NRS18_OH_10023",39.216914,-84.615729,"Ohio","71","Interior Plateau","SAP","H05080002","NRSA 2018-19"
"NRS18_KY_10006","NRS18_KY_10006",38.605448,-83.955933,"Kentucky","71","Interior Plateau","SAP","H05100101","NRSA 2018-19"
"NRS18_TX_10016","NRS18_TX_10016",29.910465,-95.491781,"Texas","34","Western Gulf Coastal Plain","CPL","H12040104","NRSA 2018-19"
"NRS18_OH_10014","NRS18_OH_10014",41.393265,-84.295794,"Ohio","57","Huron/Erie Lake Plains","TPL","H04100009","NRSA 2018-19"
"NRS18_KS_10100","NRS18_KS_10100",37.646365,-98.191853,"Kansas","27","Central Great Plains","SPL","H11030015","NRSA 2018-19"
"NRS18_MI_10033","NRS18_MI_10033",42.944179,-83.853322,"Michigan","56","Southern Michigan/Northern Indiana Drift Plains","UMW","H04080204","NRSA 2018-19"
"NRS18_PA_10004","NRS18_PA_10004",41.607634,-77.503776,"Pennsylvania","62","North Central Appalachians","NAP","H02050205","NRSA 2018-19"
"NRS18_IL_10363","NRS18_IL_10363",40.453521,-88.444823,"Illinois","54","Central Corn Belt Plains","TPL","H07130006","NRSA 2018-19"
"NRS18_GA_10003","NRS18_GA_10003",33.926733,-85.050464,"Georgia","45","Piedmont","SAP","H03150108","NRSA 2018-19"
"NRS18_OH_10029","NRS18_OH_10029",41.54013,-83.833368,"Ohio","57","Huron/Erie Lake Plains","TPL","H04100009","NRSA 2018-19"
"NRS18_KS_10043","NRS18_KS_10043",37.856015,-97.140344,"Kansas","27","Central Great Plains","SPL","H11030017","NRSA 2018-19"
"NRS18_WV_10010","NRS18_WV_10010",38.262762,-81.222574,"West Virginia","69","Central Appalachians","SAP","H05050005","NRSA 2018-19"
"NRS18_OK_10001","NRS18_OK_10001",35.749309,-97.134335,"Oklahoma","29","Cross Timbers","SPL","H11100303","NRSA 2018-19"
"NRS18_VT_10034","NRS18_VT_10034",43.2996,-72.494272,"Vermont","58","Northeastern Highlands","NAP","H01080106","NRSA 2018-19"
"NRS18_OK_10002","NRS18_OK_10002",35.717688,-96.376979,"Oklahoma","29","Cross Timbers","SPL","H11100303","NRSA 2018-19"
"NRS18_VT_10011","NRS18_VT_10011",42.876813,-72.690053,"Vermont","58","Northeastern Highlands","NAP","H01080107","NRSA 2018-19"
"NRS18_OK_10045","NRS18_OK_10045",35.925126,-96.719883,"Oklahoma","27","Central Great Plains","SPL","H11050003","NRSA 2018-19"
"NRS18_CA_10048","NRS18_CA_10048",33.266597,-116.817662,"California","8","Southern California Mountains","WMT","H18070303","NRSA 2018-19"
"NRS18_WI_10030","NRS18_WI_10030",42.923289,-89.103752,"Wisconsin","53","Southeastern Wisconsin Till Plains","TPL","H07090002","NRSA 2018-19"
"NRS18_SD_10038","NRS18_SD_10038",44.135362,-100.833745,"South Dakota","43","Northwestern Great Plains","NPL","H10140102","NRSA 2018-19"
"NRS18_TX_10055","NRS18_TX_10055",29.733622,-96.662815,"Texas","32","Texas Blackland Prairies","SPL","H12090301","NRSA 2018-19"
"NRS18_MI_10056","NRS18_MI_10056",42.741291,-84.549617,"Michigan","56","Southern Michigan/Northern Indiana Drift Plains","UMW","H04050004","NRSA 2018-19"
"NRS18_PA_10021","NRS18_PA_10021",41.65584,-76.784703,"Pennsylvania","60","Northern Allegheny Plateau","NAP","H02050106","NRSA 2018-19"
"NRS18_CA_10011","NRS18_CA_10011",34.356713,-119.019881,"California","85","Southern California/Northern Baja Coast","XER","H18070102","NRSA 2018-19"
"NRS18_GA_10001","NRS18_GA_10001",34.069547,-84.536348,"Georgia","45","Piedmont","SAP","H03150104","NRSA 2018-19"
"NRS18_WV_10031","NRS18_WV_10031",38.275918,-80.837548,"West Virginia","69","Central Appalachians","SAP","H05050005","NRSA 2018-19"
"NRS18_TN_10006","NRS18_TN_10006",35.10401,-85.360905,"Tennessee","68","Southwestern Appalachians","SAP","H06020001","NRSA 2018-19"
"NRS18_OH_10033","NRS18_OH_10033",41.135085,-84.431275,"Ohio","57","Huron/Erie Lake Plains","TPL","H04100007","NRSA 2018-19"
"NRS18_IL_10054","NRS18_IL_10054",40.162297,-88.027436,"Illinois","54","Central Corn Belt Plains","TPL","H05120109","NRSA 2018-19"
"NRS18_LA_10002","NRS18_LA_10002",32.974802,-92.076439,"Louisiana","35","South Central Plains","CPL","H08040202","NRSA 2018-19"
