Assessment,Year,Metric ID,Metric Name,Performance Standard,Performance Standard Source,Method,Stratification,Source,Tier,Catchment hydrology,Surface water storage,Reach inflow,Flow duration,Flow alteration,Low flow dynamics,Baseflow dynamics,High flow dynamics,Floodplain connectivity,Hyporheic connectivity,Channel evolution,Lateral stability,Planform change,Sediment continuity,Large wood,Bed composition,Light and thermal regime,Carbon processing,Nutrient cycling,Water and soil quality,Habitat provision,Population support,Community dynamics,Watershed connectivity
Applachian HGM - High Gradient,2017,Vcanopy,Percent canopy over channel,Yes,HGM,Visual,High Gradient,HGM,Screening,,,,,,,,,,,,,,,,,D,,,,i,,,
Applachian HGM - High Gradient,2017,Vembed,Average embededness of channel,Yes,HGM,Visual,High Gradient,HGM,Screening,,,,,,,,,,i,i,,,,,D,,,,,,,,
Applachian HGM - High Gradient,2017,Vsubstrate,Median substrate particle size,Yes,HGM,Visual,High Gradient,HGM,Screening,,,,,,,,,,i,,,,,,D,,,,,i,,,
Applachian HGM - High Gradient,2017,Vbero,Percent of eroded stream channel bank,Yes,HGM,Visual,High Gradient,HGM,Screening,,,,,,,,i,,,i,D,,i,,,,,,i,i,,,
Applachian HGM - High Gradient,2017,Vlwd,Number down woody stems per 100 feet of stream,Yes,HGM,Visual,High Gradient,HGM,Screening,,,,,,,,,,,i,,,,D,i,,i,,,i,,,
Applachian HGM - High Gradient,2017,Vtdbh,Average dbh of trees,Yes,HGM,Visual,High Gradient,HGM,Screening,,,,,,,,,,,,i,,,i,,,,,,,,,
Applachian HGM - High Gradient,2017,Vsnag,Number of snags per 100 feet of stream,Yes,HGM,Visual,High Gradient,HGM,Screening,,,,,,,,,,,,i,,,i,,,,,,,,,
Applachian HGM - High Gradient,2017,Vssd,Number of saplings and shrubs per 100 feet of stream,Yes,HGM,Visual,High Gradient,HGM,Screening,,,,,,,,,,,,i,,,i,,,,,,,,,
Applachian HGM - High Gradient,2017,Vsrich,Riparian vegetation species richness,Yes,HGM,Visual,High Gradient,HGM,Screening,,,,,,,,,,,,,,,i,,,,,,,,,
Applachian HGM - High Gradient,2017,Vdetritus,"Average percent cover of leaves, sticks, etc",Yes,HGM,Visual,High Gradient,HGM,Screening,,,,,,,,,,,,,,,i,,,,,,,,,
Applachian HGM - High Gradient,2017,Vherb,Average percent cover of herbaceous vegetation,Yes,HGM,Visual,High Gradient,HGM,Screening,,,,,,,,,,,,,,,i,,,,,,,,,
Applachian HGM - High Gradient,2017,Vwluse,Weighted Average Runoff Score for Catchment,Yes,HGM,"Visual, GIS",High Gradient,HGM,Screening,D,,,,,,,,,,,,,,,,,,,,,,,
Applachian HGM - Low Gradient,2017,Vcanopy,Percent canopy over channel,Yes,HGM,Visual,Low Gradient,HGM,Screening,,,,,,,,,,,,,,,,,D,,,,i,,,
Applachian HGM - Low Gradient,2017,Vembed,Average embededness of channel,Yes,HGM,Visual,Low Gradient,HGM,Screening,,,,,,,,,,i,i,,,,,D,,,,,,,,
Applachian HGM - Low Gradient,2017,Vsubstrate,Median substrate particle size,Yes,HGM,Visual,Low Gradient,HGM,Screening,,,,,,,,,,i,,,,,,D,,,,,i,,,
Applachian HGM - Low Gradient,2017,Vbankstab,Weighted lengths of erosion by class,Yes,HGM,Visual,Low Gradient,HGM,Screening,,,,,,,,i,,,i,D,,i,,,,,,i,i,,,
