Metric Name	Metric Tier	Mapped Function	Metric Data Source	Example Detailed Assessment as it "On" (only 1 metric per function)	Source	Metric Statement	Description	Method/Context	How To Measure	References	Stratification	Field Value 1	Index Value 1	Field Value 2	Index Value 2	Field Value 3	Index Value 3	Field Value 4	Index Value 4	Field Value 5	Index Value 5	Field Value 6	Index Value 6	Field Value 7	Index Value 7
Land Use Coefficient	Detailed	Catchment hydrology	Watershed GIS (land cover/impervious/soils) and watershed delineation.	On	Alaska SQT	Runoff and infiltration sustain natural flow regime, carry appropriate sediment and nutrients from uplands, and reliably cue aquatic life processes.	Catchment land cover/soil condition used as a surrogate for runoff/infiltration and stress from development or land conversion.	"Context: Watershed
Method: Desktop (GIS)"	Delineate watershed for the reach; compute metric from land cover/impervious (e.g., NLCD) and/or soils (NRCS). Apply the state SQT scoring breakpoints.	Alaska SQT; NLCD (MRLC) land cover/impervious where applicable; NRCS soils/curve number datasets where applicable		86	0		0.29	22	0.3		0.69	16	0.7	9	1		
Impervious Cover	Detailed	Catchment hydrology	Watershed GIS (land cover/impervious/soils) and watershed delineation.		Alaska SQT	Runoff and infiltration sustain natural flow regime, carry appropriate sediment and nutrients from uplands, and reliably cue aquatic life processes.	Catchment land cover/soil condition used as a surrogate for runoff/infiltration and stress from development or land conversion.	"Context: Watershed
Method: Desktop (GIS)"	Delineate watershed for the reach; compute metric from land cover/impervious (e.g., NLCD) and/or soils (NRCS). Apply the state SQT scoring breakpoints.	Alaska SQT; NLCD (MRLC) land cover/impervious where applicable; NRCS soils/curve number datasets where applicable			0		0.29		0.3		0.69	10	0.7	0	1		
Anthropogenic Land Cover	Detailed	Catchment hydrology	Watershed GIS (land cover/impervious/soils) and watershed delineation.		Alaska SQT	Runoff and infiltration sustain natural flow regime, carry appropriate sediment and nutrients from uplands, and reliably cue aquatic life processes.	Catchment land cover/soil condition used as a surrogate for runoff/infiltration and stress from development or land conversion.	"Context: Watershed
Method: Desktop (GIS)"	Delineate watershed for the reach; compute metric from land cover/impervious (e.g., NLCD) and/or soils (NRCS). Apply the state SQT scoring breakpoints.	Alaska SQT; NLCD (MRLC) land cover/impervious where applicable; NRCS soils/curve number datasets where applicable			0		0.29	50	0.3		0.69	35	0.7	0	1		
Land Use Coefficient	Detailed	Catchment hydrology	Watershed GIS (land cover/impervious/soils) and watershed delineation.		Colorado SQT	Runoff and infiltration sustain natural flow regime, carry appropriate sediment and nutrients from uplands, and reliably cue aquatic life processes.	Catchment land cover/soil condition used as a surrogate for runoff/infiltration and stress from development or land conversion.	"Context: Watershed
Method: Desktop (GIS)"	Delineate watershed for the reach; compute metric from land cover/impervious (e.g., NLCD) and/or soils (NRCS). Apply the state SQT scoring breakpoints.	Colorado SQT; NLCD (MRLC) land cover/impervious where applicable; NRCS soils/curve number datasets where applicable			0		0.29		0.3		0.69	62	0.7	55	1		
Land Use Change Coefficient	Detailed	Catchment hydrology	Watershed GIS (land cover/impervious/soils) and watershed delineation.		Michigan SQT	Runoff and infiltration sustain natural flow regime, carry appropriate sediment and nutrients from uplands, and reliably cue aquatic life processes.	Catchment land cover/soil condition used as a surrogate for runoff/infiltration and stress from development or land conversion.	"Context: Watershed
Method: Desktop (GIS)"	Delineate watershed for the reach; compute metric from land cover/impervious (e.g., NLCD) and/or soils (NRCS). Apply the state SQT scoring breakpoints.	Michigan SQT; NLCD (MRLC) land cover/impervious where applicable; NRCS soils/curve number datasets where applicable			0		0.29	70	0.3		0.69	55	0.7	30	1		
Effective Impervious Cover (BMP Runoff)	Detailed	Catchment hydrology	Watershed GIS (land cover/impervious/soils) and watershed delineation.		Michigan SQT	Runoff and infiltration sustain natural flow regime, carry appropriate sediment and nutrients from uplands, and reliably cue aquatic life processes.	Catchment land cover/soil condition used as a surrogate for runoff/infiltration and stress from development or land conversion.	"Context: Watershed
Method: Desktop (GIS)"	Delineate watershed for the reach; compute metric from land cover/impervious (e.g., NLCD) and/or soils (NRCS). Apply the state SQT scoring breakpoints.	Michigan SQT; NLCD (MRLC) land cover/impervious where applicable; NRCS soils/curve number datasets where applicable		60	0.01		0.29	20	0.3		0.69	5	0.7	0	1		
Land Use Coefficient	Detailed	Catchment hydrology	Watershed GIS (land cover/impervious/soils) and watershed delineation.		Minnesota SQT	Runoff and infiltration sustain natural flow regime, carry appropriate sediment and nutrients from uplands, and reliably cue aquatic life processes.	Catchment land cover/soil condition used as a surrogate for runoff/infiltration and stress from development or land conversion.	"Context: Watershed
Method: Desktop (GIS)"	Delineate watershed for the reach; compute metric from land cover/impervious (e.g., NLCD) and/or soils (NRCS). Apply the state SQT scoring breakpoints.	Minnesota SQT; NLCD (MRLC) land cover/impervious where applicable; NRCS soils/curve number datasets where applicable		80	0		0.29		0.3		0.69	68	0.7	40	1		
BMP MIDS Rv Coefficient	Detailed	Catchment hydrology	Watershed GIS (land cover/impervious/soils) and watershed delineation.		Minnesota SQT	Runoff and infiltration sustain natural flow regime, carry appropriate sediment and nutrients from uplands, and reliably cue aquatic life processes.	Catchment land cover/soil condition used as a surrogate for runoff/infiltration and stress from development or land conversion.	"Context: Watershed
Method: Desktop (GIS)"	Delineate watershed for the reach; compute metric from land cover/impervious (e.g., NLCD) and/or soils (NRCS). Apply the state SQT scoring breakpoints.	Minnesota SQT; NLCD (MRLC) land cover/impervious where applicable; NRCS soils/curve number datasets where applicable		0.95	0		0.29	0.25	0.3		0.69	0.05	0.7	0.02	1		
Curve Number	Detailed	Catchment hydrology	Watershed GIS (land cover/impervious/soils) and watershed delineation.		North Carolina SQT	Runoff and infiltration sustain natural flow regime, carry appropriate sediment and nutrients from uplands, and reliably cue aquatic life processes.	Catchment land cover/soil condition used as a surrogate for runoff/infiltration and stress from development or land conversion.	"Context: Watershed
Method: Desktop (GIS)"	Delineate watershed for the reach; compute metric from land cover/impervious (e.g., NLCD) and/or soils (NRCS). Apply the state SQT scoring breakpoints.	North Carolina SQT; NLCD (MRLC) land cover/impervious where applicable; NRCS soils/curve number datasets where applicable		78.44963	0		0.29	70	0.3		0.69	55	0.7	30	1		
Percent Impervious Cover (BMP Runoff)	Detailed	Catchment hydrology	Watershed GIS (land cover/impervious/soils) and watershed delineation.		North Carolina SQT	Runoff and infiltration sustain natural flow regime, carry appropriate sediment and nutrients from uplands, and reliably cue aquatic life processes.	Catchment land cover/soil condition used as a surrogate for runoff/infiltration and stress from development or land conversion.	"Context: Watershed
Method: Desktop (GIS)"	Delineate watershed for the reach; compute metric from land cover/impervious (e.g., NLCD) and/or soils (NRCS). Apply the state SQT scoring breakpoints.	North Carolina SQT; NLCD (MRLC) land cover/impervious where applicable; NRCS soils/curve number datasets where applicable		75.77966102	0	26	0.29	25	0.3	10	0.69	9	0.7	0	1		
