Indicator	Observation	Criteria	Sentiment
catchment-hydrology-impervious-surface-area	Largely forest and pasture. Small town footprint.	<5% impervious	++
catchment-hydrology-impervious-surface-area	Suburban neighborhoods with scattered commercial areas.	~5-10% impervious	+
catchment-hydrology-impervious-surface-area	Mixed suburban and commercial corridors.	10-20% impervious	-
catchment-hydrology-impervious-surface-area	Urban core and arterial corridors dominate lower basin.	>20% impervious	--
catchment-hydrology-impoundments	No major dams. Only small farm ponds far upstream.	None or negligible influence	++
catchment-hydrology-impoundments	One small off-channel dam upstream. Limited storage.	1-2 small dams, partial influence	+
catchment-hydrology-impoundments	Several moderate impoundments in series.	Multiple moderate dams affecting peaks/baseflow	-
catchment-hydrology-impoundments	Large reservoir close upstream with hydropeaking or strict seasonal rule curves.	Heavily regulated system	--
catchment-hydrology-land-use-change	Stable land cover since 2001. Minor field rotations only.	<5% area converted (e.g., 2001-2019)	++
catchment-hydrology-land-use-change	New subdivisions on outskirts.	5-15% converted	+
catchment-hydrology-land-use-change	Widespread exurban growth and clearing.	~15-30% converted	-
catchment-hydrology-land-use-change	Major urban expansion or large agricultural conversion.	>=30% converted	--
catchment-hydrology-road-density	Few local roads. Rare stream crossings.	<0.5 km roads/km2	++
catchment-hydrology-road-density	Collector roads present. Some drainage ditches.	~0.5-1.0 km/km2	+
catchment-hydrology-road-density	Grid network near town center. Several culvert crossings.	1-2 km/km2	-
catchment-hydrology-road-density	Highways and frontage roads crisscross basin. Frequent crossings to channel.	>2 km/km2	--
surface-water-storage-floodplain-water-retention	Overbanking frequency based on field indicators and gage context	Floodplain engages at ~1-2 yr or 2-5 yr events	++
surface-water-storage-floodplain-water-retention	Overbanking requires slightly larger than bankfull but not rare	Overbanking requires slightly larger than bankfull but not rare	+
surface-water-storage-floodplain-water-retention	Overbanking mainly at ~5-10 yr events. Partial disconnection	Overbanking mainly at ~5-10 yr events. Partial disconnection	-
surface-water-storage-floodplain-water-retention	Rarely or never overbanking below ~10-yr events. Incision or levees present	Rarely or never overbanking below ~10-yr events. Incision or levees present	--
surface-water-storage-in-channel-ponding-beaver	Beaver dams or small ponds relative to natural capacity	Present where expected. Enhance baseflow and habitat. Minimal fragmentation	++
surface-water-storage-in-channel-ponding-beaver	One to two small obstructions. Minor impacts	One to two small obstructions. Minor impacts	+
surface-water-storage-in-channel-ponding-beaver	Multiple ponds that moderately disrupt connectivity	Multiple ponds that moderately disrupt connectivity	-
surface-water-storage-in-channel-ponding-beaver	Widespread channel fragmentation or overabundant ponding	Widespread channel fragmentation or overabundant ponding	--
surface-water-storage-off-channel-storage	Side channels, oxbows, and beaver wetlands connected near bankfull	Multiple features connect during moderate (bankfull) floods	++
surface-water-storage-off-channel-storage	Partial connection or few off-channel areas	Partial connection or few off-channel areas	+
surface-water-storage-off-channel-storage	Only large floods (>5-10 yr) access these areas	Only large floods (>5-10 yr) access these areas	-
surface-water-storage-off-channel-storage	Off-channel features mostly gone or permanently cut off	Off-channel features mostly gone or permanently cut off	--
surface-water-storage-wetland-coverage	Wetlands within mapped floodplain or valley bottom	High (>5% of floodplain area)	++
surface-water-storage-wetland-coverage	Moderate (~2-5%)	Moderate (~2-5%)	+
surface-water-storage-wetland-coverage	Low (~1-2%)	Low (~1-2%)	-
surface-water-storage-wetland-coverage	Very low (<1%)	Very low (<1%)	--
reach-inflow-concentrated-flow-inputs	Outfalls or ditches per 100 m	0-1	++
reach-inflow-concentrated-flow-inputs	Outfalls or ditches per 100 m	2-3	+
