Discipline	Function	Function statement	Metric	Metric statement	Predefined SCS	Context	Method	How to measure	Optimal	Suboptimal	Marginal	Poor	References
Hydrology	Catchment hydrology	Runoff and infiltration sustain natural flow regime, carry appropriate sediment and nutrients from uplands, and reliably cue spawning/migration of aquatic life.	Percent impervious area	Coverage is minimal, preserving near-natural infiltration/runoff timing, consistent with reference levels.	Yes	Watershed	Desktop	Delineate the watershed and compute percent impervious area from the most recent impervious-surface raster (for example NLCD Impervious Surface).	<5% impervious. Near natural infiltration and minimal flashiness.	5-10% impervious. Mild runoff changes.	10-20% impervious. Partial flashiness and infiltration loss.	>20% impervious. Severe runoff alteration and frequent flashy peaks.	MN SQT 2020; SC SQT 2021; NLCD 2019 Impervious Surface (MRLC); Model My Watershed (WikiWatershed).
Hydrology	Catchment hydrology	Runoff and infiltration sustain natural flow regime, carry appropriate sediment and nutrients from uplands, and reliably cue spawning/migration of aquatic life.	Road density	Road density is low enough to avoid significant runoff or sediment inputs, consistent with minimal watershed impact.		Watershed	Desktop	Sum total road length inside the watershed boundary and divide by watershed area (km roads per km2) using a roads layer.	<0.5 km roads per km2. Few crossings.	0.5-1.0 km per km2.	1-2 km per km2. Noticeable effect on runoff and sediment.	>2 km per km2, or frequent crossings delivering heavy pollution.	TIGER/Line roads or OpenStreetMap roads; EPA EnviroAtlas (where available).
Hydrology	Catchment hydrology	Runoff and infiltration sustain natural flow regime, carry appropriate sediment and nutrients from uplands, and reliably cue spawning/migration of aquatic life.	Land use change	<5% land cover shift in ~15-20 years, indicating stable infiltration/runoff consistent with historical conditions.		Watershed	Desktop	Compare land cover between two time periods (for example NLCD 2001 vs 2019) and compute percent area converted to a different major class.	<5% new development or clearing, or only minor land cover shifts.	5-15% converted from one major land use to another.	15-30% converted with likely effects on infiltration or flow patterns.	>30% converted. Drastic alteration in runoff, infiltration, and habitat.	NLCD Land Cover (MRLC), for example 2001 vs 2019; NLCD Land Cover Change Index; NOAA C-CAP (coastal).
Hydrology	Catchment hydrology	Runoff and infiltration sustain natural flow regime, carry appropriate sediment and nutrients from uplands, and reliably cue spawning/migration of aquatic life.	Impoundments and regulated reaches	Flow is near-natural, with no major dams or only negligible small ones, unless larger dams are historically normal.		Watershed	Desktop	Inventory dams and flow-regulated reaches that influence the reach and flag major impoundments or hydropeaking where present.	No major dams, or only small and distant impoundments with negligible impact.	1-2 small dams partially moderating flow.	Multiple moderate dams reducing flood peaks or baseflow.	Heavily regulated system or hydropeaking from major impoundments.	National Inventory of Dams (NID); USGS National Anthropogenic Barrier Dataset (NABD); NHDPlus (where available); state dam lists.
Hydrology	Surface water storage	Wetlands and storage features store floodwater, recharge groundwater, sustain baseflow, and provide low-velocity habitat.	Percent wetlands in watershed	Sufficient wetlands/ponds for flood attenuation/baseflow support, unless minimal wetlands are historically normal.	Yes	Watershed	Desktop	Calculate the percent area classified as wetlands using a land cover or wetlands layer. Where possible, compute within the mapped floodplain or valley bottom to better reflect storage.	>5% wetland coverage, or consistent with historical norm.	2-5% wetland coverage.	1-2% wetland coverage.	<1% wetland coverage, or heavily drained wetlands.	MN SQT 2020; WI SQT 2022; SC SQT 2021; NLCD Land Cover and/or USFWS National Wetlands Inventory (NWI).
Hydrology	Surface water storage	Wetlands and storage features store floodwater, recharge groundwater, sustain baseflow, and provide low-velocity habitat.	Floodplain water retention	Moderate floods (~1-5 yr) reach the floodplain, providing water retention/infiltration per regional norms.		Floodplain	Field	Identify bankfull indicators and recent high-water marks and compare to bankfull elevation. Corroborate with a nearby gage bankfull or recurrence estimate where available.	Floodplain is actively engaged at the local moderate-flood standard (often about 1-2 yr or 2-5 yr).	Overbanking requires flows slightly larger than typical bankfull, but still not rare.	Overbanking requires 5-10 yr floods. Partial disconnection.	Rarely or never overbanking below about 10+ yr events. Deep incision or levees block moderate floods.	USFS and NRCS bankfull field guides; USGS gage recurrence/rating data (where available).
Hydrology	Surface water storage	Wetlands and storage features store floodwater, recharge groundwater, sustain baseflow, and provide low-velocity habitat.	In-channel ponding or beaver dams	Small beaver-type impoundments aid baseflow/habitat; no major fragmentation unless historically normal.		Channel	Field	Count beaver dams or ponded sections per 100 m of channel. Use recent aerial imagery to pre-screen and compare to expected capacity for the setting.	Beaver dams or small ponds enhance baseflow and habitat with negligible fragmentation.	1-2 small obstructions with minor impacts.	Multiple ponds moderately disrupt connectivity.	Widespread channel fragmentation or overabundant ponding.	Field count; NAIP imagery; Beaver Restoration Assessment Tool (BRAT) for capacity context.
Hydrology	Surface water storage	Wetlands and storage features store floodwater, recharge groundwater, sustain baseflow, and provide low-velocity habitat.	Off-channel storage	Side channels/beaver ponds/oxbows connect during moderate floods, providing off-channel storage and habitat.		Floodplain	Field	Map side channels and oxbows and verify whether they connect at about bankfull stage. Use simple inundation mapping if needed.	Multiple off-channel features connect in moderate floods.	Partial connection or fewer off-channel areas.	Only large floods access these areas, or off-channel areas are minimal.	Off-channel features are mostly gone or permanently cut off.	LiDAR/DEM and aerial imagery; optional HEC-RAS 2D bankfull inundation (screening).
Hydrology	Reach inflow	Quantity + quality of inflow (tributaries, ditches, and pipes) does not provide harmful peaks or pollution, and supports diverse habitat conditions.	Road density and proximity to channel	Tributaries stable, matching reference (flow, quality, form), with no major flash/pollution surges.	Yes	Watershed and Channel	Desktop	Compute road density within the watershed and, where possible, compute road length within a riparian buffer along the reach to capture proximity.	<0.5 km roads per km2, with few roads close to the channel.	0.5-1.0 km per km2, or limited road proximity to the channel.	1-2 km per km2, or roads commonly adjacent to the channel.	>2 km per km2, or frequent road proximity with clear runoff and sediment delivery risk.	MN SQT 2020; WI SQT 2022; TIGER/Line roads or OpenStreetMap roads.
Hydrology	Reach inflow	Quantity + quality of inflow (tributaries, ditches, and pipes) does not provide harmful peaks or pollution, and supports diverse habitat conditions.	Concentrated flow inputs	Storm/tile drains, ditches are minimal or absent, preserving near-natural infiltration/runoff timing.		Channel	Desktop	Count stormwater outfalls or ditches per 100 m using municipal layers or imagery and verify in the field where feasible.	0-1 outfalls or ditches per 100 m.	2-3 per 100 m.	4-5 per 100 m.	>5 per 100 m, or large storm drains.	Municipal MS4 outfall GIS layers (where available); NPDES/MS4 permit information; Unified Stream Assessment protocols.
