Indicator	Observation	Criteria	Sentiment
Impervious surface area	Largely forest and pasture. Small town footprint.	<5% impervious	++
Impervious surface area	Suburban neighborhoods with scattered commercial areas.	~5-10% impervious	+
Impervious surface area	Mixed suburban and commercial corridors.	10-20% impervious	-
Impervious surface area	Urban core and arterial corridors dominate lower basin.	>20% impervious	--
Road density	Few local roads. Rare stream crossings.	<0.5 km roads/km2	++
Road density	Collector roads present. Some drainage ditches.	~0.5-1.0 km/km2	+
Road density	Grid network near town center. Several culvert crossings.	1-2 km/km2	-
Road density	Highways and frontage roads crisscross basin. Frequent crossings to channel.	>2 km/km2	--
Land use change	Stable land cover since 2001. Minor field rotations only.	<5% area converted (e.g., 2001-2019)	++
Land use change	New subdivisions on outskirts.	5-15% converted	+
Land use change	Widespread exurban growth and clearing.	~15-30% converted	-
Land use change	Major urban expansion or large agricultural conversion.	>=30% converted	--
Impoundments	No major dams. Only small farm ponds far upstream.	None or negligible influence	++
Impoundments	One small off-channel dam upstream. Limited storage.	1-2 small dams, partial influence	+
Impoundments	Several moderate impoundments in series.	Multiple moderate dams affecting peaks/baseflow	-
Impoundments	Large reservoir close upstream with hydropeaking or strict seasonal rule curves.	Heavily regulated system	--
Wetland Coverage	Wetlands within mapped floodplain or valley bottom	High (>5% of floodplain area)	++
Wetland Coverage	Moderate (~2-5%)	Moderate (~2-5%)	+
Wetland Coverage	Low (~1-2%)	Low (~1-2%)	-
Wetland Coverage	Very low (<1%)	Very low (<1%)	--
Floodplain Water Retention	Overbanking frequency based on field indicators and gage context	Floodplain engages at ~1-2 yr or 2-5 yr events	++
Floodplain Water Retention	Overbanking requires slightly larger than bankfull but not rare	Overbanking requires slightly larger than bankfull but not rare	+
Floodplain Water Retention	Overbanking mainly at ~5-10 yr events. Partial disconnection	Overbanking mainly at ~5-10 yr events. Partial disconnection	-
Floodplain Water Retention	Rarely or never overbanking below ~10-yr events. Incision or levees present	Rarely or never overbanking below ~10-yr events. Incision or levees present	--
In-channel Ponding / Beaver	Beaver dams or small ponds relative to natural capacity	Present where expected. Enhance baseflow and habitat. Minimal fragmentation	++
In-channel Ponding / Beaver	One to two small obstructions. Minor impacts	One to two small obstructions. Minor impacts	+
In-channel Ponding / Beaver	Multiple ponds that moderately disrupt connectivity	Multiple ponds that moderately disrupt connectivity	-
In-channel Ponding / Beaver	Widespread channel fragmentation or overabundant ponding	Widespread channel fragmentation or overabundant ponding	--
Off-channel Storage	Side channels, oxbows, and beaver wetlands connected near bankfull	Multiple features connect during moderate (bankfull) floods	++
Off-channel Storage	Partial connection or few off-channel areas	Partial connection or few off-channel areas	+
Off-channel Storage	Only large floods (>5-10 yr) access these areas	Only large floods (>5-10 yr) access these areas	-
Off-channel Storage	Off-channel features mostly gone or permanently cut off	Off-channel features mostly gone or permanently cut off	--
Concentrated flow inputs	Outfalls or ditches per 100 m	0-1	++
Concentrated flow inputs	Outfalls or ditches per 100 m	2-3	+
Concentrated flow inputs	Outfalls or ditches per 100 m	4-5	-
Concentrated flow inputs	Outfalls or ditches per 100 m	>5	--
Tributary condition and impact	Stability and turbidity at confluences during storms	Mostly natural tributaries with stable flows and typical sediment loads	++
Tributary condition and impact	One or two moderately altered tributaries with occasional elevated turbidity	One or two moderately altered tributaries with occasional elevated turbidity	+
Tributary condition and impact	Multiple significantly altered tributaries with frequent sediment plumes	Multiple significantly altered tributaries with frequent sediment plumes	-
Tributary condition and impact	Widespread severely altered tributaries or severe pollution at many confluences	Widespread severely altered tributaries or severe pollution at many confluences	--
Local runoff diversions	Withdrawals and return flows near the reach	No significant withdrawals or returns	++
Local runoff diversions	Minor ditches or returns with limited effect	Minor ditches or returns with limited effect	+
Local runoff diversions	Moderate diversions or large returns that cause seasonal stress	Moderate diversions or large returns that cause seasonal stress	-
Local runoff diversions	Large or chronic diversions or major returns that alter the flow regime	Large or chronic diversions or major returns that alter the flow regime	--
Road/highway drainage	Road or highway outfalls per 100 m	0-1	++
Road/highway drainage	Road or highway outfalls per 100 m	2-3	+
Road/highway drainage	Road or highway outfalls per 100 m	4-5	-
Road/highway drainage	Road or highway outfalls per 100 m	>=5 or a major highway outfall	--
Flow permanence	SDAM class, bed vegetation, mean annual flow, and flowing-days data (if available) match reference.	Flow duration class matches expected; mean annual flow and flowing days within ~10% of baseline.	++
