Discipline	Functions	Function statement	Metric	Metric statements	Context	Method	How to measure	Criteria key
Hydrology	Catchment Hydrology	Runoff and infiltration sustain natural flow regime, carry appropriate sediment and nutrients from uplands, and reliably cue spawning/migration of aquatic life.	Impervious surface area	Coverage is minimal, preserving near-natural infiltration/runoff timing, consistent with reference levels.	W	D	GIS: percent impervious from NLCD/land-use raster	Impervious surface area
Hydrology	Catchment Hydrology	Runoff and infiltration sustain natural flow regime, carry appropriate sediment and nutrients from uplands, and reliably cue spawning/migration of aquatic life.	Road density	Road density is low enough to avoid significant runoff or sediment inputs, consistent with minimal watershed impact.	W	D	GIS road length / watershed area	Road density
Hydrology	Catchment Hydrology	Runoff and infiltration sustain natural flow regime, carry appropriate sediment and nutrients from uplands, and reliably cue spawning/migration of aquatic life.	Land use change	<5% land cover shift in ~15-20 years, indicating stable infiltration/runoff consistent with historical conditions.	W	D	Compare 2 time-stamped land-cover rasters	Land use change
Hydrology	Catchment Hydrology	Runoff and infiltration sustain natural flow regime, carry appropriate sediment and nutrients from uplands, and reliably cue spawning/migration of aquatic life.	Impoundments	Flow is near-natural, with no major dams or only negligible small ones, unless larger dams are historically normal.	W	D	Desktop dam inventory and NHD flow regs	Impoundments
Hydrology	Surface Water Storage	Wetlands and storage features store floodwater, recharge groundwater, sustain baseflow, and provide low-velocity habitat.	Wetland coverage	Sufficient wetlands/ponds for flood attenuation/baseflow support, unless minimal wetlands are historically normal.	F	D	NWI wetland percent in floodplain polygon	Wetland Coverage
Hydrology	Surface Water Storage	Wetlands and storage features store floodwater, recharge groundwater, sustain baseflow, and provide low-velocity habitat.	Floodplain water retention	Moderate floods (~1-5 yr) reach the floodplain, providing water retention/infiltration per regional norms.	F	F	Flag high-water marks vs bankfull (level)	Floodplain Water Retention
Hydrology	Surface Water Storage	Wetlands and storage features store floodwater, recharge groundwater, sustain baseflow, and provide low-velocity habitat.	In-channel ponding/beaver	Small beaver-type impoundments aid baseflow/habitat; no major fragmentation unless historically normal.	C	F	Tally beaver dams/ponds per 100 m reach	In-channel Ponding / Beaver
Hydrology	Surface Water Storage	Wetlands and storage features store floodwater, recharge groundwater, sustain baseflow, and provide low-velocity habitat.	Off-channel storage	Side channels/beaver ponds/oxbows connect during moderate floods, providing off-channel storage and habitat.	F	F	Count connected oxbows/side channels at bankfull	Off-channel Storage
Hydrology	Reach Inflow	Quantity + quality of inflow (tributaries, ditches, and pipes) does not provide harmful peaks or pollution, and supports diverse habitat conditions.	Concentrated flow inputs	Storm/tile drains, ditches are minimal or absent, preserving near-natural infiltration/runoff timing.	C	D	Map outfalls per 100 m in street/stormwater layers	Concentrated flow inputs
Hydrology	Reach Inflow	Quantity + quality of inflow (tributaries, ditches, and pipes) does not provide harmful peaks or pollution, and supports diverse habitat conditions.	Tributary Condition and Impact	Tributaries stable, matching reference (flow, quality, form), with no major flash/pollution surges.	W/C	F	Visual check of confluence flow, turbidity	Tributary condition and impact
