Metric Name	Mapped Function	Source	Stream Condition Screening (SCS) Has it On 	Metric Data Source	Bin 1 Name	Bin 1 Desc	Bin 1 Recommended Index (0-1.0)	Bin 2 Name	Bin 2 Desc	Bin 2 Recommended Index (0-1.0)	Bin 3 Name	Bin 3 Desc	Bin 3 Recommended Index (0-1.0)	Discipline	Recommended Tiers	Metric Statement	Description	Method/Context	How To Measure	References
Substrate Condition (grain size/embeddedness/fines/consolidation)	Bed composition and bedform dynamics	Tennessee SQT; ERDC	Yes	"Field observations (pebble counts/visual estimates) and/or existing habitat survey data.
"	Poor	Predominantly fine or consolidated bed with little interstitial space.	0-0.29	Fair	Mild embedding or partial fine coverage. / Strong embedding or siltation limiting infiltration.	0.40-0.69	Good	Open interstitial coarse bed with minimal fines.	0.70-1.0	Geomorphology	screening	"Streambed material and bedforms provide habitat and influence stability; appropriate substrate sizes and heterogeneity support aquatic communities.
Supports aquatic habitats through streambed material and bedform dynamics. Enhances habitat complexity and streambank stability."	"Fine sediment deposition/embeddedness as an indicator of sediment imbalance and habitat condition for benthic organisms and fish spawning.
Presence and clarity of expected bedform sequence (riffle-run-pool or step-pool) indicate organized transport and habitat variety.
Combines substrate size distribution, embeddedness, and consolidation or armoring to assess pore space and habitat quality."	"Context: Channel

Method: Field screening
Context: Channel

Method: Field"	"Conduct a field screening to visually estimate fine sediment deposition or embeddedness in representative riffles/runs, or use an approved protocol referenced by the applicable SQT. Assign the condition class using the bin thresholds for this metric.
Perform a pebble count to estimate percent gravel and cobble versus fines.
Estimate percent of coarse grains buried by fines during a field visit.
Use a pick test or visual checks to identify surface crusting, cementing, or heavy armoring.
Visually classify dominant substrate along the reach (bedrock, boulder, cobble, gravel, sand, silt or clay) and note the relative amount of fines and embedding."	TN SQT; Field pebble count; USGS or state surficial geology; high-resolution imagery for bar texture classes (where available).; Field embeddedness estimate; EPA Water Quality Portal (turbidity/TSS); assessment listings for sediment (where available).; Field pick test or visual checks; document as data gap where field access is limited.; Barbour et al. (1999); SVAP v2 (2018).
Bedform Diversity / Sequence	Bed composition and bedform dynamics	ERDC	No	High resolution aerial imagery; Field photos; Brief field recon; Historical evidence	Poor	Flattened or artificially uniform bed.	0-0.29	Fair	Some diversity but partially uniform. / Mostly homogeneous bed with faint or missing sequences.	0.40-0.69	Good	Clear riffle-pool or step-pool sequence with robust variety.	0.70-1.0	Geomorphology	screening	Supports aquatic habitats through streambed material and bedform dynamics. Enhances habitat complexity and streambank stability.	Presence and clarity of expected bedform sequence (riffle-run-pool or step-pool) indicate organized transport and habitat variety.	"Context: Channel

Method: Field"	Count presence of riffle, run, pool, or step-pool units and note whether sequences are intact.	Field habitat mapping; high-resolution imagery; planform metrics (for example sinuosity) as supporting context.
Historic Tie Drives	Bed composition and bedform dynamics	Wyoming SQT	No	State/agency datasets, GIS/imagery, and field observations (as applicable).	Poor	Occurred and effects persist.	0-0.29	Fair	May have occurred but effects ameliorated.	0.40-0.69	Good	Never had them, or no remaining evidence.	0.70-1.0	Geomorphology	screening	Streambed material and bedforms provide habitat and influence stability; appropriate substrate sizes and heterogeneity support aquatic communities.	Screening metric used to evaluate Bed composition and bedform dynamics based on the definition and bin thresholds provided for this metric.	"Context: Channel

Method: Field screening"	Use available GIS layers/imagery and/or a field screening (as applicable) to quantify or rate the metric according to the provided bin thresholds.	WY SQT 2019
Detrital Processing (CPOM retention / shredders)	Carbon processing	ERDC	Yes	High resolution aerial imagery; Field photos; Brief field recon; Historical evidence	Poor	Essentially no retained organic matter, or severe overload causing anoxia risk.	0-0.29	Fair	Some retention but partially flushed out. / Sparse organic matter and limited retention.	0.40-0.69	Good	Abundant CPOM retention with stable leaf packs typical for the system.	0.70-1.0	Physicochemistry	screening	Organic matter is captured and broken down, fueling food webs, balancing production/ respiration, moderating pH/ redox, and supplying nutrients.	"Leaf litter/coarse organic matter are visibly retained, supporting detrital processes per local references.
Quick checks show these invertebrates, indicating healthy detrital processing (if typical)."	"Context: Channel

Method: Field"	"Count leaf packs and small debris dams, or infer retention from wood presence and low-velocity habitat during a field visit.
Conduct a rapid kick sample and note presence of shredder taxa where a CPOM pathway is expected."	Field observation; wood and habitat assessments; planform complexity from imagery as supporting context.; State biomonitoring portals and/or EPA Water Quality Portal biological results (where available).
Primary Production / Algal Indicators	Carbon processing	ERDC	No	High resolution aerial imagery; Field photos; Brief field recon; Historical evidence	Poor	Thick blooms or scums that cover substrate.	0-0.29	Fair	Slightly elevated algae. / Frequent moderate nuisance mats.	0.40-0.69	Good	Balanced growth with no nuisance blooms.	0.70-1.0	Physicochemistry	screening	Organic matter is captured and broken down, fueling food webs, balancing production/ respiration, moderating pH/ redox, and supplying nutrients.	Balanced algae/macrophyte growth, no nuisance blooms, unless moderate coverage is historically normal.	"Context: Channel

Method: Field"	Use chlorophyll or periphyton data where available. If absent, infer risk from nutrients and light conditions.	EPA Water Quality Portal (chlorophyll-a/periphyton where available); nutrient datasets (TN/TP) and shade context.
Impervious Surface Cover	Catchment hydrology	Minnesota SQT; Michigan SQT; North Carolina SQT; South Carolina SQT; Tennessee SQT	Yes	Impervious-surface GIS (e.g., NLCD Impervious Surface or local impervious dataset); watershed boundary.	Poor	Impervious Cover (IC) Index Score of 40% or less.	0-0.29	Fair	IC Index Score Between 41% and 70%.	0.40-0.69	Good	IC Index score of 71% or greater.	0.70-1.0	Hydrology	screening	Runoff and infiltration sustain natural flow regime, carry appropriate sediment and nutrients from uplands, and reliably cue spawning/migration of aquatic life.	Percent impervious surface in the contributing watershed (and/or specified buffer). Higher imperviousness generally increases runoff/flashiness and can degrade water quality and habitat.	"Context: Watershed

Method: Desktop (GIS/imagery and existing datasets)"	Delineate the contributing watershed (or specified buffer) and compute percent impervious area using an impervious-surface dataset (e.g., NLCD Impervious Surface or a local impervious layer). Assign the condition class using the bin thresholds for this metric.	NLCD Impervious Surface (MRLC) (if used); MN SQT 2020; NLCD Impervious Surface (MRLC) (if used); MI SQT 2019; NC SQT 2019; NLCD Impervious Surface (MRLC) (if used); SC SQT 2021; NLCD Impervious Surface (MRLC) (if used); TN SQT
Percent Forest Cover	Catchment hydrology	Wisconsin SQT; Michigan SQT; South Carolina SQT; Minnesota SQT; North Carolina SQT; Tennessee SQT	No	Land cover GIS (e.g., NLCD Land Cover or local land use/land cover dataset); watershed boundary.	Poor	≤ 20%	0-0.29	Fair	>20% and <70%	0.40-0.69	Good	≥ 70%	0.70-1.0	Hydrology	screening	Runoff and infiltration sustain natural flow regime, carry appropriate sediment and nutrients from uplands, and reliably cue spawning/migration of aquatic life.	Percent forested land cover in the contributing watershed/catchment. Higher forest cover generally supports infiltration, reduces runoff and erosion, and can improve water quality.	"Context: Watershed

Method: Desktop (GIS/imagery and existing datasets)"	Delineate the contributing watershed and compute percent forest land cover using a land cover dataset (e.g., NLCD). Assign the condition class using the bin thresholds for this metric.	NLCD Land Cover (MRLC) (if used); WI SQT 2022; NLCD Land Cover (MRLC) (if used); MI SQT 2019; SC SQT 2021; NLCD Land Cover (MRLC) (if used); MN SQT 2020; NLCD Land Cover (MRLC) (if used); NC SQT 2019; NLCD Land Cover (MRLC) (if used); TN SQT
Recent Land Use / Land Cover Change	Catchment hydrology	Michigan SQT; North Carolina SQT; Minnesota SQT; Tennessee SQT	No	Land cover time series (e.g., NLCD); watershed boundary; optional local land use change datasets.	Poor	Rapidly urbanizing/urban	0-0.29	Fair	Single family homes/suburban	0.40-0.69	Good	Rural communities/slow growth or primarily forested	0.70-1.0	Hydrology	screening	Runoff and infiltration sustain natural flow regime, carry appropriate sediment and nutrients from uplands, and reliably cue spawning/migration of aquatic life.	Magnitude of land cover/land use change over a specified period. Greater recent conversion typically increases hydrologic alteration and pollutant/sediment loading risk.	"Context: Watershed

Method: Desktop (GIS/imagery and existing datasets)"	Compare land cover between two time periods (e.g., NLCD time series) and compute percent area converted (and/or change in impervious area where specified). Assign the condition class using the bin thresholds for this metric.	NLCD Land Cover time series (MRLC) (if used); MI SQT 2019; NC SQT 2019; NLCD Land Cover time series (MRLC) (if used); MN SQT 2020; NLCD Land Cover time series (MRLC) (if used); TN SQT
Watershed Development & Roads / Infrastructure	Catchment hydrology	South Carolina SQT; Colorado SQT; Wyoming SQT; Michigan SQT; North Carolina SQT; Alaska SQT; Wisconsin SQT; Tennessee SQT; Minnesota SQT	No	"Roads/trails GIS (TIGER/Line/OSM/state datasets); recent aerial imagery.
Roads GIS and DOT planning layers (if applicable); recent aerial imagery.
USACE and other Permits
Roads GIS (e.g., TIGER/Line, state DOT, or OpenStreetMap); watershed boundary.
Imagery & Spatial data
Imagery & NLCD
Recent aerial imagery (e.g., NAIP); land cover/land use datasets (e.g., NLCD); permit/industry GIS layers (if available)."	Poor	High development or potential for impacts in contributing watershed or within 1 mile of project reach, or high potential of impacts >1 mile away from project reach.	0-0.29	Fair	Moderate development or moderate potential for impacts, but none within 1 mile of project reach.	0.40-0.69	Good	No development or no potential for impacts.	0.70-1.0	Hydrology	screening	Runoff and infiltration sustain natural flow regime, carry appropriate sediment and nutrients from uplands, and reliably cue spawning/migration of aquatic life.	"Road/trail proximity or density as an indicator of watershed development and potential sediment/pollutant delivery.
Distance from the project reach to the nearest road and/or planned road expansion. Closer roads can increase stormwater inputs, constrain floodplains, and contribute sediment and pollutants.
Road density within the contributing watershed or buffer. Higher road density can increase runoff, fragment riparian areas, and deliver sediment/pollutants.
Degree of land development/disturbance in the watershed and/or near the project reach (e.g., urban areas, industrial sites, oil/gas, mining, timber harvest). Increased development can alter runoff, sediment delivery, and water quality."	"Context: Watershed

Method: Desktop (GIS/imagery and existing datasets)"	"Use roads/trails GIS and recent imagery to summarize proximity and/or density within the watershed or specified buffer. Assign the condition class using the bin thresholds for this metric.
Measure the minimum distance from the project reach (or riparian buffer) to mapped roads using GIS and/or recent imagery. Where specified, incorporate information on proposed road expansion. Assign the condition class using the bin thresholds for this metric.
Using a roads GIS layer, calculate total road length divided by watershed area (or within the specified buffer). Assign the condition class using the bin thresholds for this metric.
Review recent imagery and available land use/permit data to characterize development intensity in the watershed and within the specified distance of the project reach (e.g., 1 mile). Assign the condition class using the bin thresholds for this metric."	Roads/trails GIS (if used); SC SQT 2021; Roads/trails GIS (if used); CO SQT 2019; Roads/trails GIS (if used); WY SQT 2019; Roads GIS/DOT plans (if used); MI SQT 2019; Roads GIS/DOT plans (if used); NC SQT 2019; Roads/trails GIS (if used); Alaska SQT; Roads GIS (TIGER/Line/OSM) (if used); WI SQT 2022; Roads GIS (TIGER/Line/OSM) (if used); TN SQT; Roads/trails GIS (if used); MN SQT 2020; NAIP/NLCD/permit datasets (if used); Alaska SQT; NAIP/NLCD/permit datasets (if used); CO SQT 2019; NAIP/NLCD/permit datasets (if used); SC SQT 2021; NAIP/NLCD/permit datasets (if used); WI SQT 2022; NAIP/NLCD/permit datasets (if used); WY SQT 2019
Bank Erosion & Armoring Condition	Channel and floodplain dynamics	ERDC	Yes	High resolution aerial imagery; Field photos; Brief field recon; Historical evidence	Poor	Failing armoring or widespread bare banks with severe instability.	0-0.29	Fair	Some armoring or partial vegetation coverage. / Large portion of banks is armored or vegetation is sparse.	0.40-0.69	Good	Predominantly natural banks with deeply rooted cover.	0.70-1.0	Geomorphology	screening	Examines the role of bank processes and erosion in channel change. Observes patterns in sinuosity and curvature affecting habitat complexity.	"Integrates bank geometry, rooting, surface protection, raw or failing banks, and hardening to summarize erosion risk and sediment delivery.
Compares meander migration rates and cutoff frequency to reference behavior; excessive migration or avulsions indicate instability."	"Context: Channel

Method: Field"	"Map hardened versus natural or vegetated bank lengths and compute percent by type.
Measure raw or eroding bank length and divide by total bank length across both banks."	NAIP or orthophotos; local infrastructure layers (where available).; Field tape/RTK survey; GIS digitization of raw bank segments from imagery.
