Metric ID	Discipline	Function	Function statement	Metric	Metric statement	Predefined SCS	Context	Method	How to measure	Good	Fair	Poor	References	Source	Metric Data Source	Bin 1 Name	Bin 1 Desc	Bin 1 Recommended Index (0-1.0)	Bin 2 Name	Bin 2 Desc	Bin 2 Recommended Index (0-1.0)	Bin 3 Name	Bin 3 Desc	Bin 3 Recommended Index (0-1.0)	Recommended Tiers	Original Description
catchment-hydrology-impervious-surface-cover	Hydrology	Catchment hydrology	Runoff and infiltration sustain natural flow regime, carry appropriate sediment and nutrients from uplands, and reliably cue spawning/migration of aquatic life.	Impervious Surface Cover	Percent impervious surface in the contributing watershed (and/or specified buffer). Higher imperviousness generally increases runoff/flashiness and can degrade water quality and habitat.	Yes	Watershed	Desktop (GIS/imagery and existing datasets)	Delineate the contributing watershed (or specified buffer) and compute percent impervious area using an impervious-surface dataset (e.g., NLCD Impervious Surface or a local impervious layer). Assign the condition class using the bin thresholds for this metric.	Good: IC Index score of 71% or greater. (Suggested index range 0.70-1.0)	Fair: IC Index Score Between 41% and 70%. (Suggested index range 0.40-0.69)	Poor: Impervious Cover (IC) Index Score of 40% or less. (Suggested index range 0.0-0.39)	NLCD Impervious Surface (MRLC) (if used); MN SQT 2020; NLCD Impervious Surface (MRLC) (if used); MI SQT 2019; NC SQT 2019; NLCD Impervious Surface (MRLC) (if used); SC SQT 2021; NLCD Impervious Surface (MRLC) (if used); TN SQT	Minnesota SQT; Michigan SQT; North Carolina SQT; South Carolina SQT; Tennessee SQT	Impervious-surface GIS (e.g., NLCD Impervious Surface or local impervious dataset); watershed boundary.	Poor	Impervious Cover (IC) Index Score of 40% or less.	0.0-0.39	Fair	IC Index Score Between 41% and 70%.	0.40-0.69	Good	IC Index score of 71% or greater.	0.70-1.0	screening	Percent impervious surface in the contributing watershed (and/or specified buffer). Higher imperviousness generally increases runoff/flashiness and can degrade water quality and habitat.
catchment-hydrology-percent-forest-cover	Hydrology	Catchment hydrology	Runoff and infiltration sustain natural flow regime, carry appropriate sediment and nutrients from uplands, and reliably cue spawning/migration of aquatic life.	Percent Forest Cover	Percent forested land cover in the contributing watershed/catchment. Higher forest cover generally supports infiltration, reduces runoff and erosion, and can improve water quality.	No	Watershed	Desktop (GIS/imagery and existing datasets)	Delineate the contributing watershed and compute percent forest land cover using a land cover dataset (e.g., NLCD). Assign the condition class using the bin thresholds for this metric.	Good: >70% (Suggested index range 0.70-1.0)	Fair: >20% and <70% (Suggested index range 0.40-0.69)	Poor: <20% (Suggested index range 0.0-0.39)	NLCD Land Cover (MRLC) (if used); WI SQT 2022; NLCD Land Cover (MRLC) (if used); MI SQT 2019; SC SQT 2021; NLCD Land Cover (MRLC) (if used); MN SQT 2020; NLCD Land Cover (MRLC) (if used); NC SQT 2019; NLCD Land Cover (MRLC) (if used); TN SQT	Wisconsin SQT; Michigan SQT; South Carolina SQT; Minnesota SQT; North Carolina SQT; Tennessee SQT	Land cover GIS (e.g., NLCD Land Cover or local land use/land cover dataset); watershed boundary.	Poor	<20%	0.0-0.39	Fair	>20% and <70%	0.40-0.69	Good	>70%	0.70-1.0	screening	Percent forested land cover in the contributing watershed/catchment. Higher forest cover generally supports infiltration, reduces runoff and erosion, and can improve water quality.
catchment-hydrology-recent-land-use-land-cover-change	Hydrology	Catchment hydrology	Runoff and infiltration sustain natural flow regime, carry appropriate sediment and nutrients from uplands, and reliably cue spawning/migration of aquatic life.	Recent Land Use / Land Cover Change	Magnitude of land cover/land use change over a specified period. Greater recent conversion typically increases hydrologic alteration and pollutant/sediment loading risk.	No	Watershed	Desktop (GIS/imagery and existing datasets)	Compare land cover between two time periods (e.g., NLCD time series) and compute percent area converted (and/or change in impervious area where specified). Assign the condition class using the bin thresholds for this metric.	Good: Rural communities/slow growth or primarily forested (Suggested index range 0.70-1.0)	Fair: Single family homes/suburban (Suggested index range 0.40-0.69)	Poor: Rapidly urbanizing/urban (Suggested index range 0.0-0.39)	NLCD Land Cover time series (MRLC) (if used); MI SQT 2019; NC SQT 2019; NLCD Land Cover time series (MRLC) (if used); MN SQT 2020; NLCD Land Cover time series (MRLC) (if used); TN SQT	Michigan SQT; North Carolina SQT; Minnesota SQT; Tennessee SQT	Land cover time series (e.g., NLCD); watershed boundary; optional local land use change datasets.	Poor	Rapidly urbanizing/urban	0.0-0.39	Fair	Single family homes/suburban	0.40-0.69	Good	Rural communities/slow growth or primarily forested	0.70-1.0	screening	Magnitude of land cover/land use change over a specified period. Greater recent conversion typically increases hydrologic alteration and pollutant/sediment loading risk.
catchment-hydrology-watershed-development-and-roads-infrastructure	Hydrology	Catchment hydrology	Runoff and infiltration sustain natural flow regime, carry appropriate sediment and nutrients from uplands, and reliably cue spawning/migration of aquatic life.	Watershed Development & Roads / Infrastructure	"""Road/trail proximity or density as an indicator of watershed development and potential sediment/pollutant delivery. Distance from the project reach to the nearest road and/or planned road expansion. Closer roads can increase stormwater inputs, constrain floodplains, and contribute sediment and pollutants. Road density within the contributing watershed or buffer. Higher road density can increase runoff, fragment riparian areas, and deliver sediment/pollutants. Degree of land development/disturbance in the watershed and/or near the project reach (e.g., urban areas, industrial sites, oil/gas, mining, timber harvest). Increased development can alter runoff, sediment delivery, and water quality."""	No	Watershed	Desktop (GIS/imagery and existing datasets)	"""Use roads/trails GIS and recent imagery to summarize proximity and/or density within the watershed or specified buffer. Assign the condition class using the bin thresholds for this metric. Measure the minimum distance from the project reach (or riparian buffer) to mapped roads using GIS and/or recent imagery. Where specified, incorporate information on proposed road expansion. Assign the condition class using the bin thresholds for this metric. Using a roads GIS layer, calculate total road length divided by watershed area (or within the specified buffer). Assign the condition class using the bin thresholds for this metric. Review recent imagery and available land use/permit data to characterize development intensity in the watershed and within the specified distance of the project reach (e.g., 1 mile). Assign the condition class using the bin thresholds for this metric."""	Good: No development or no potential for impacts. (Suggested index range 0.70-1.0)	Fair: Moderate development or moderate potential for impacts, but none within 1 mile of project reach. (Suggested index range 0.40-0.69)	Poor: High development or potential for impacts in contributing watershed or within 1 mile of project reach, or high potential of impacts >1 mile away from project reach. (Suggested index range 0.0-0.39)	Roads/trails GIS (if used); SC SQT 2021; Roads/trails GIS (if used); CO SQT 2019; Roads/trails GIS (if used); WY SQT 2019; Roads GIS/DOT plans (if used); MI SQT 2019; Roads GIS/DOT plans (if used); NC SQT 2019; Roads/trails GIS (if used); Alaska SQT; Roads GIS (TIGER/Line/OSM) (if used); WI SQT 2022; Roads GIS (TIGER/Line/OSM) (if used); TN SQT; Roads/trails GIS (if used); MN SQT 2020; NAIP/NLCD/permit datasets (if used); Alaska SQT; NAIP/NLCD/permit datasets (if used); CO SQT 2019; NAIP/NLCD/permit datasets (if used); SC SQT 2021; NAIP/NLCD/permit datasets (if used); WI SQT 2022; NAIP/NLCD/permit datasets (if used); WY SQT 2019	South Carolina SQT; Colorado SQT; Wyoming SQT; Michigan SQT; North Carolina SQT; Alaska SQT; Wisconsin SQT; Tennessee SQT; Minnesota SQT	"""Roads/trails GIS (TIGER/Line/OSM/state datasets); recent aerial imagery. Roads GIS and DOT planning layers (if applicable); recent aerial imagery. USACE and other Permits Roads GIS (e.g., TIGER/Line, state DOT, or OpenStreetMap); watershed boundary. Imagery & Spatial data Imagery & NLCD Recent aerial imagery (e.g., NAIP); land cover/land use datasets (e.g., NLCD); permit/industry GIS layers (if available)."""	Poor	High development or potential for impacts in contributing watershed or within 1 mile of project reach, or high potential of impacts >1 mile away from project reach.	0.0-0.39	Fair	Moderate development or moderate potential for impacts, but none within 1 mile of project reach.	0.40-0.69	Good	No development or no potential for impacts.	0.70-1.0	screening	"""Road/trail proximity or density as an indicator of watershed development and potential sediment/pollutant delivery. Distance from the project reach to the nearest road and/or planned road expansion. Closer roads can increase stormwater inputs, constrain floodplains, and contribute sediment and pollutants. Road density within the contributing watershed or buffer. Higher road density can increase runoff, fragment riparian areas, and deliver sediment/pollutants. Degree of land development/disturbance in the watershed and/or near the project reach (e.g., urban areas, industrial sites, oil/gas, mining, timber harvest). Increased development can alter runoff, sediment delivery, and water quality."""
surface-water-storage-floodplain-water-retention-storage	Hydrology	Surface water storage	Wetlands and storage features store floodwater, recharge groundwater, sustain baseflow, and provide low-velocity habitat.	Floodplain Water Retention / Storage	Moderate floods (~1-5 yr) reach the floodplain, providing water retention/infiltration per regional norms.	No	Floodplain	Desktop	Identify bankfull indicators and recent high-water marks and compare to bankfull elevation. Corroborate with a nearby gage bankfull or recurrence estimate where available.	Good: Floodplain is actively engaged at the local moderate-flood standard (often about 1-2 yr or 2-5 yr). (Suggested index range 0.70-1.0)	Fair: Overbanking requires flows slightly larger than typical bankfull, but still not rare. / Overbanking requires 5-10 yr floods. Partial disconnection. (Suggested index range 0.40-0.69)	Poor: Rarely or never overbanking below about 10+ yr events. Deep incision or levees block moderate floods. (Suggested index range 0.0-0.39)	USFS and NRCS bankfull field guides; USGS gage recurrence/rating data (where available).	ERDC	High resolution aerial imagery; Field photos; Brief field recon; Historical evidence; Cross-section calculation tools	Poor	Rarely or never overbanking below about 10+ yr events. Deep incision or levees block moderate floods.	0.0-0.39	Fair	Overbanking requires flows slightly larger than typical bankfull, but still not rare. / Overbanking requires 5-10 yr floods. Partial disconnection.	0.40-0.69	Good	Floodplain is actively engaged at the local moderate-flood standard (often about 1-2 yr or 2-5 yr).	0.70-1.0	screening	Moderate floods (~1-5 yr) reach the floodplain, providing water retention/infiltration per regional norms.
surface-water-storage-impoundments-dams-ponds	Hydrology	Surface water storage	Wetlands and storage features store floodwater, recharge groundwater, sustain baseflow, and provide low-velocity habitat.	Impoundments / Dams / Ponds	"""Presence and proximity of impoundments (dams/ponds/reservoirs) that can alter flow regime, sediment transport, temperature, and aquatic connectivity. Small beaver-type impoundments aid baseflow/habitat; no major fragmentation unless historically normal."""	No	Watershed and Floodplain; Channel	Desktop (GIS/imagery and existing datasets); Field	"""Inventory impoundments upstream (and where specified, downstream) of the project reach using dam/impoundment datasets and imagery. Summarize proximity and/or density per the metric definition. Assign the condition class using the bin thresholds for this metric. Count beaver dams or ponded sections per 100 m of channel. Use recent aerial imagery to pre-screen and compare to expected capacity for the setting."""	Good: Beaver dams or small ponds enhance baseflow and habitat with negligible fragmentation. (Suggested index range 0.70-1.0)	Fair: 1-2 small obstructions with minor impacts. / Multiple ponds moderately disrupt connectivity. (Suggested index range 0.40-0.69)	Poor: Widespread channel fragmentation or overabundant ponding. (Suggested index range 0.0-0.39)	National Inventory of Dams (if used); TN SQT; National Inventory of Dams (if used); CO SQT 2019; National Inventory of Dams (if used); WY SQT 2019; Field count; NAIP imagery; Beaver Restoration Assessment Tool (BRAT) for capacity context.	Tennessee SQT; Colorado SQT; Wyoming SQT; ERDC	"""National Inventory of Dams (NID) and/or state dam databases; NHD/NHDPlus waterbodies/flowlines; recent imagery. """	Poor	Widespread channel fragmentation or overabundant ponding.	0.0-0.39	Fair	1-2 small obstructions with minor impacts. / Multiple ponds moderately disrupt connectivity.	0.40-0.69	Good	Beaver dams or small ponds enhance baseflow and habitat with negligible fragmentation.	0.70-1.0	screening	"""Presence and proximity of impoundments (dams/ponds/reservoirs) that can alter flow regime, sediment transport, temperature, and aquatic connectivity. Small beaver-type impoundments aid baseflow/habitat; no major fragmentation unless historically normal."""
surface-water-storage-off-channel-storage-features	Hydrology	Surface water storage	Wetlands and storage features store floodwater, recharge groundwater, sustain baseflow, and provide low-velocity habitat.	Off-channel Storage Features	Side channels/beaver ponds/oxbows connect during moderate floods, providing off-channel storage and habitat.	No	Floodplain	Desktop	Map side channels and oxbows and verify whether they connect at about bankfull stage. Use simple inundation mapping if needed.	Good: Multiple off-channel features connect in moderate floods. (Suggested index range 0.70-1.0)	Fair: Partial connection or fewer off-channel areas. / Only large floods access these areas, or off-channel areas are minimal. (Suggested index range 0.40-0.69)	Poor: Off-channel features are mostly gone or permanently cut off. (Suggested index range 0.0-0.39)	LiDAR/DEM and aerial imagery; optional HEC-RAS 2D bankfull inundation (screening).	ERDC	High resolution aerial imagery; Field photos; Brief field recon; Historical evidence	Poor	Off-channel features are mostly gone or permanently cut off.	0.0-0.39	Fair	Partial connection or fewer off-channel areas. / Only large floods access these areas, or off-channel areas are minimal.	0.40-0.69	Good	Multiple off-channel features connect in moderate floods.	0.70-1.0	screening	Side channels/beaver ponds/oxbows connect during moderate floods, providing off-channel storage and habitat.
surface-water-storage-percent-wetlands-in-watershed	Hydrology	Surface water storage	Wetlands and storage features store floodwater, recharge groundwater, sustain baseflow, and provide low-velocity habitat.	Percent Wetlands in Watershed	Sufficient wetlands/ponds for flood attenuation/baseflow support, unless minimal wetlands are historically normal.	Yes	Watershed	Desktop	Calculate the percent area classified as wetlands using a land cover or wetlands layer. Where possible, compute within the mapped floodplain or valley bottom to better reflect storage.	Good: >5% wetland coverage, or consistent with historical norm. (Suggested index range 0.70-1.0)	Fair: 1-5% wetland coverage. (Suggested index range 0.40-0.69)	Poor: <1% wetland coverage, or heavily drained wetlands. (Suggested index range 0.0-0.39)	MN SQT 2020; WI SQT 2022; SC SQT 2021; NLCD Land Cover and/or USFWS National Wetlands Inventory (NWI).	ERDC	Watershed	Poor	<1% wetland coverage, or heavily drained wetlands.	0.0-0.39	Fair	1-5% wetland coverage.	0.40-0.69	Good	>5% wetland coverage, or consistent with historical norm.	0.70-1.0	screening	Sufficient wetlands/ponds for flood attenuation/baseflow support, unless minimal wetlands are historically normal.
reach-inflow-concentrated-runoff-stormwater-inputs	Hydrology	Reach inflow	Quantity + quality of inflow (tributaries, ditches, and pipes) does not provide harmful peaks or pollution, and supports diverse habitat conditions.	Concentrated Runoff / Stormwater Inputs	"""Screening metric used to evaluate Reach inflow based on the definition and bin thresholds provided for this metric. Runoff is minimal or well-managed, causing no significant direct inflows or pollutant pulses."""	Yes	Watershed and Channel; Channel	Desktop (permit/layer review) with field verification where feasible; Field	"""Use available GIS layers/imagery and/or a field screening (as applicable) to quantify or rate the metric according to the provided bin thresholds. Count road or highway drainage outfalls per 100 m and note erosion or sediment plumes. Corroborate with available transportation layers if present."""	Good: 0-1 outfall per 100 m, and no noticeable discharge effects. (Suggested index range 0.70-1.0)	Fair: 2-3 outfalls per 100 m, with some unmitigated runoff but partial buffering. / 4-5 outfalls per 100 m, with noticeable sediment or pollutant inputs. (Suggested index range 0.40-0.69)	Poor: More than 5 outfalls per 100 m, or major highway drains with concentrated discharge. (Suggested index range 0.0-0.39)	MI SQT 2019; NC SQT 2019; SC SQT 2021; Field count; DOT drainage or as-built plans (where available); road drainage GIS layers.	Michigan SQT; North Carolina SQT; South Carolina SQT; ERDC	"""State/agency datasets, GIS/imagery, and field observations (as applicable). """	Poor	More than 5 outfalls per 100 m, or major highway drains with concentrated discharge.	0.0-0.39	Fair	2-3 outfalls per 100 m, with some unmitigated runoff but partial buffering. / 4-5 outfalls per 100 m, with noticeable sediment or pollutant inputs.	0.40-0.69	Good	0-1 outfall per 100 m, and no noticeable discharge effects.	0.70-1.0	screening	"""Screening metric used to evaluate Reach inflow based on the definition and bin thresholds provided for this metric. Runoff is minimal or well-managed, causing no significant direct inflows or pollutant pulses."""
reach-inflow-diversions-withdrawals-returns	Hydrology	Reach inflow	Quantity + quality of inflow (tributaries, ditches, and pipes) does not provide harmful peaks or pollution, and supports diverse habitat conditions.	Diversions / Withdrawals / Returns	Diversions/returns are minimal, flow remains near natural regime without artificial additions/withdrawals.	No	Watershed	Desktop	Map withdrawals, returns, and ditches that affect the reach using local diversion layers or mapped canals and ditches.	Good: No significant withdrawals or returns. Flows remain near natural. (Suggested index range 0.70-1.0)	Fair: Minor ditches or returns with limited effect. / Moderate diversions or returns causing seasonal stress. (Suggested index range 0.40-0.69)	Poor: Large or chronic diversions or returns that drastically alter the flow regime. (Suggested index range 0.0-0.39)	State water-rights and diversions GIS; irrigation district maps; NHD canals/ditches; USGS Water Use summaries.	ERDC	High resolution aerial imagery; Field photos; Brief field recon; Historical evidence	Poor	Large or chronic diversions or returns that drastically alter the flow regime.	0.0-0.39	Fair	Minor ditches or returns with limited effect. / Moderate diversions or returns causing seasonal stress.	0.40-0.69	Good	No significant withdrawals or returns. Flows remain near natural.	0.70-1.0	screening	Diversions/returns are minimal, flow remains near natural regime without artificial additions/withdrawals.
